model,mae,acc,pre,rec
LSTM_part0,14.495057668576958,0.9059139784946236,0.7524752475247525,0.628099173553719
LSTM_part1,14.875194921873618,0.9510869565217392,0.9803921568627452,0.6578947368421053
LSTM_part2,16.75271327995999,0.96951871657754,1.0,0.0172413793103448
LSTM_avg,15.374321956803522,0.9421732171979675,0.9109558014624991,0.4344117632353897
