model,mae,acc,pre,rec
xPatch_part0,14.43906960163706,0.9032258064516128,0.7525773195876289,0.6033057851239669
xPatch_part1,14.42599283007608,0.9528985507246376,0.9310344827586208,0.7105263157894737
xPatch_part2,15.90221299286832,0.9689839572192512,,0.0
xPatch_avg,14.922425141527155,0.9417027714651671,0.8418059011731248,0.43794403363781353
