,Energy_Consumption,Session_Count,Day_of_Week,Hour_of_Day,Month_of_Year,Year,Day/Night,IsHoliday,Weekend,HourSin,HourCos,DayOfWeekSin,DayOfWeekCos,MonthOfYearSin,MonthOfYearCos,Season,Energy_Consumption_1h,Energy_Consumption_6h,Energy_Consumption_12h,Energy_Consumption_24h,Energy_Consumption_1w,Energy_Consumption_rolling
2022-11-30 00:00:00,3.4685004565861313,3,2,0,11,2022,False,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,22.241509958674815,34.03281087126981,0.26512200976726913,2.4921933957507583,14.173361034404484
2022-11-30 01:00:00,3.4685004565861313,3,2,1,11,2022,False,0,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,24.772323639665593,28.169478389097964,0.26512200976726913,2.2598579118797906,14.30683513635527
2022-11-30 02:00:00,3.4685004565861313,3,2,2,11,2022,False,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,12.355527330702115,21.58789797620889,0.26512200976726913,2.2598579118797906,14.440309238306057
2022-11-30 03:00:00,3.4685004565861313,3,2,3,11,2022,False,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,9.54907188515756,21.5217420870956,0.26512200976726913,2.2598579118797906,14.57378334025684
2022-11-30 04:00:00,3.4685004565861313,3,2,4,11,2022,False,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,8.808957599443275,18.795340828525134,0.26512200976726913,2.2598579118797906,14.707257442207629
2022-11-30 05:00:00,3.4685004565861313,3,2,5,11,2022,False,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,3.4685004565861313,12.779551496885968,0.26512200976726913,3.6602799302284144,14.840731544158416
2022-11-30 06:00:00,10.083874758212408,7,2,6,11,2022,True,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.4685004565861313,3.4685004565861313,22.241509958674815,0.26512200976726913,13.556534626602378,15.249846242010298
2022-11-30 07:00:00,26.958762402656593,10,2,7,11,2022,True,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,10.083874758212408,3.4685004565861313,24.772323639665593,7.612297699246329,21.113480423033085,16.055948937985722
2022-11-30 08:00:00,17.53581197715986,7,2,8,11,2022,True,0,0,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,26.958762402656593,3.4685004565861313,12.355527330702115,16.525861599454192,30.946076227492703,16.098030203723457
2022-11-30 09:00:00,36.3628395920168,12,2,9,11,2022,True,0,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,17.53581197715986,3.4685004565861313,9.54907188515756,23.70605794302344,37.761451844142876,16.62539610576485
2022-11-30 10:00:00,35.827646009671945,10,2,10,11,2022,True,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,36.3628395920168,3.4685004565861313,8.808957599443275,32.79190252325282,36.85480869320945,16.75188541769898
2022-11-30 11:00:00,34.559301742414306,13,2,11,11,2022,True,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,35.827646009671945,3.4685004565861313,3.4685004565861313,36.38260002622826,38.739182648877154,16.6759146558734
2022-11-30 12:00:00,30.200869439356254,13,2,12,11,2022,True,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,34.559301742414306,10.083874758212408,3.4685004565861313,34.03281087126981,37.029099909201676,16.516250429543664
2022-11-30 13:00:00,44.82960617223349,15,2,13,11,2022,True,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,30.200869439356254,26.958762402656593,3.4685004565861313,28.169478389097964,35.12082697115325,17.210422420507648
2022-11-30 14:00:00,60.37449770462235,18,2,14,11,2022,True,0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,44.82960617223349,17.53581197715986,3.4685004565861313,21.58789797620889,36.72530196681507,18.826530742524874
2022-11-30 15:00:00,56.962518126771684,19,2,15,11,2022,True,0,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,60.37449770462235,36.3628395920168,3.4685004565861313,21.5217420870956,43.167464909503295,20.303229744178044
2022-11-30 16:00:00,59.572484520504425,17,2,16,11,2022,True,0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,56.962518126771684,35.827646009671945,3.4685004565861313,18.795340828525134,24.77965438093556,22.002277398010516
