,Energy_Consumption,Session_Count,Day_of_Week,Hour_of_Day,Month_of_Year,Year,Day/Night,IsHoliday,Weekend,HourSin,HourCos,DayOfWeekSin,DayOfWeekCos,MonthOfYearSin,MonthOfYearCos,Season,Energy_Consumption_1h,Energy_Consumption_6h,Energy_Consumption_12h,Energy_Consumption_24h,Energy_Consumption_1w,Energy_Consumption_rolling
2022-11-30 00:00:00,2.9746097560975606,1,2,0,11,2022,False,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,1.5864585365853658,0.26132075471698113,0.0,1.7842312164442387
2022-11-30 01:00:00,2.9746097560975606,1,2,1,11,2022,False,0,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,0.0,1.8972849248350965
2022-11-30 02:00:00,2.9746097560975606,1,2,2,11,2022,False,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,0.0,2.010338633225954
2022-11-30 03:00:00,2.9746097560975606,1,2,3,11,2022,False,0,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,0.0,2.1233923416168112
2022-11-30 04:00:00,2.9746097560975606,1,2,4,11,2022,False,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,0.0,2.2364460500076686
2022-11-30 05:00:00,2.9746097560975606,1,2,5,11,2022,False,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,0.0,2.3494997583985264
2022-11-30 06:00:00,2.9746097560975606,1,2,6,11,2022,True,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,0.0,2.4625534667893834
2022-11-30 07:00:00,4.3428975258817335,2,2,7,11,2022,True,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,2.9746097560975606,2.9746097560975606,2.9746097560975606,0.26132075471698113,4.634657232704402,2.6326191655879154
2022-11-30 08:00:00,8.105688892788208,2,2,8,11,2022,True,0,0,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,4.3428975258817335,2.9746097560975606,2.9746097560975606,1.0351089470480828,2.600683563315498,2.9272266633270867
2022-11-30 09:00:00,8.105688892788208,2,2,9,11,2022,True,0,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,8.105688892788208,2.9746097560975606,2.9746097560975606,1.1632258064516128,8.32844776119403,3.216495958591112
2022-11-30 10:00:00,8.105688892788208,2,2,10,11,2022,True,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,8.105688892788208,2.9746097560975606,2.9746097560975606,1.1632258064516128,10.396099935107072,3.5057652538551363
2022-11-30 11:00:00,8.105688892788208,2,2,11,11,2022,True,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,8.105688892788208,2.9746097560975606,2.9746097560975606,0.34896774193548386,8.963596210333945,3.8289619684739997
2022-11-30 12:00:00,4.856005439550798,2,2,12,11,2022,True,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,8.105688892788208,2.9746097560975606,2.9746097560975606,1.5864585365853658,13.596136457697444,3.9651930894308927
2022-11-30 13:00:00,9.18870387374462,2,2,13,11,2022,True,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,4.856005439550798,4.3428975258817335,2.9746097560975606,2.9746097560975606,10.712956738016281,4.224113677666188
2022-11-30 14:00:00,17.211847029585154,5,2,14,11,2022,True,0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,9.18870387374462,8.105688892788208,2.9746097560975606,2.9746097560975606,12.116829287035888,4.817331897394837
2022-11-30 15:00:00,11.141424604431993,6,2,15,11,2022,True,0,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,17.211847029585154,8.105688892788208,2.9746097560975606,2.9746097560975606,16.00624105174177,5.157615849408772
2022-11-30 16:00:00,7.680036799553944,2,2,16,11,2022,True,0,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,11.141424604431993,8.105688892788208,2.9746097560975606,2.9746097560975606,13.551339301794478,5.353675309552788
2022-11-30 17:00:00,3.2138950097574575,2,2,17,11,2022,True,0,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,7.680036799553944,8.105688892788208,2.9746097560975606,2.9746097560975606,1.21601246105919,5.363645528455284
2022-11-30 18:00:00,3.423,1,2,18,11,2022,True,0,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.2138950097574575,4.856005439550798,2.9746097560975606,2.9746097560975606,0.0,5.382328455284552
2022-11-30 19:00:00,0.0,0,2,19,11,2022,False,0,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,Autumn,3.423,9.18870387374462,4.3428975258817335,2.9746097560975606,0.0,5.25838638211382
