,Energy_Consumption,Session_Count,Day_of_Week,Hour_of_Day,Month_of_Year,Year,Day/Night,IsHoliday,Weekend,HourSin,HourCos,DayOfWeekSin,DayOfWeekCos,MonthOfYearSin,MonthOfYearCos,Season,Energy_Consumption_1h,Energy_Consumption_6h,Energy_Consumption_12h,Energy_Consumption_24h,Energy_Consumption_1w,Energy_Consumption_rolling
2023-01-19 09:00:00,0.3253776978417266,1,3,9,1,2023,True,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,0.9761330935251799,0.9761330935251799,0.9761330935251799,3.6061870503597118,4.525161290322581,1.807603717026379
2023-01-19 10:00:00,1.9181017612524462,1,3,10,1,2023,True,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,0.3253776978417266,0.9761330935251799,0.9761330935251799,3.6061870503597118,4.525161290322581,1.7372668299802427
2023-01-19 11:00:00,4.603444227005871,1,3,11,1,2023,True,0,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,1.9181017612524462,0.9761330935251799,0.9761330935251799,5.739524550359712,4.148064516129033,1.6899301498404995
2023-01-19 12:00:00,5.525176185768757,2,3,12,1,2023,True,0,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.603444227005871,0.9761330935251799,0.9761330935251799,6.218437050359712,0.0,1.6610442804825432
2023-01-19 13:00:00,6.331691649686283,2,3,13,1,2023,True,0,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,5.525176185768757,0.9761330935251799,0.9761330935251799,3.1531780575539567,3.1770854271356788,1.79348234682139
2023-01-19 14:00:00,4.747464845562572,2,3,14,1,2023,True,0,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,6.331691649686283,0.9761330935251799,0.9761330935251799,2.807476618705036,5.44643216080402,1.8743151896071206
2023-01-19 15:00:00,7.836056727005871,2,3,15,1,2023,True,0,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.747464845562572,0.3253776978417266,0.9761330935251799,3.58838309352518,7.26456203093389,2.0513015910021495
2023-01-19 16:00:00,5.9078317270058704,2,3,16,1,2023,True,0,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,7.836056727005871,1.9181017612524462,0.9761330935251799,2.32579559352518,6.691920381126412,2.2005530965638447
2023-01-19 17:00:00,4.603444227005871,1,3,17,1,2023,True,0,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,5.9078317270058704,4.603444227005871,0.9761330935251799,0.9761330935251799,2.720408163265306,2.3516910604588737
2023-01-19 18:00:00,4.603444227005871,1,3,18,1,2023,True,0,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.603444227005871,5.525176185768757,0.9761330935251799,0.9761330935251799,0.3795918367346939,2.5028290243539026
2023-01-19 19:00:00,5.642969422700587,4,3,19,1,2023,False,0,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.603444227005871,6.331691649686283,0.9761330935251799,0.9761330935251799,0.0,2.697280538069544
2023-01-19 20:00:00,4.338214285714286,1,3,20,1,2023,False,0,0,-0.8660254037844386,0.5,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,5.642969422700587,4.747464845562572,0.9761330935251799,0.9761330935251799,0.0,2.8373672544107573
2023-01-19 21:00:00,4.338214285714286,1,3,21,1,2023,False,0,0,-0.7071067811865477,0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.338214285714286,7.836056727005871,0.3253776978417266,0.9761330935251799,0.0,2.97745397075197
2023-01-19 22:00:00,4.338214285714286,1,3,22,1,2023,False,0,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.338214285714286,5.9078317270058704,1.9181017612524462,0.9761330935251799,0.0,3.1175406870931823
2023-01-19 23:00:00,0.650732142857143,1,3,23,1,2023,False,0,0,-0.2588190451025215,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,Winter,4.338214285714286,4.603444227005871,4.603444227005871,0.9761330935251799,0.0,3.103982314148681
2023-01-20 00:00:00,0.0,0,4,0,1,2023,False,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,Winter,0.650732142857143,4.603444227005871,5.525176185768757,0.9761330935251799,0.0,3.0633101019184656
2023-01-20 01:00:00,0.0,0,4,1,1,2023,False,0,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,Winter,0.0,5.642969422700587,6.331691649686283,0.9761330935251799,0.0,3.0226378896882498
2023-01-20 02:00:00,0.0,0,4,2,1,2023,False,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,Winter,0.0,4.338214285714286,4.747464845562572,0.9761330935251799,0.0,2.981965677458034
