"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"9/4/2022 7 p.m. MDT",7195,6979,7302,107
PSCO,"9/4/2022 8 p.m. MDT",6722,6673,6942,220
PSCO,"9/4/2022 9 p.m. MDT",6366,6393,6418,52
PSCO,"9/4/2022 10 p.m. MDT",5872,5870,5975,103
PSCO,"9/4/2022 11 p.m. MDT",5367,5486,5458,91
PSCO,"9/5/2022 12 a.m. MDT",4977,5010,5193,216
PSCO,"9/5/2022 1 a.m. MDT",4642,4515,4848,206
PSCO,"9/5/2022 2 a.m. MDT",4474,4242,4588,114
PSCO,"9/5/2022 3 a.m. MDT",4280,4071,4365,85
PSCO,"9/5/2022 4 a.m. MDT",4217,3920,4311,94
PSCO,"9/5/2022 5 a.m. MDT",4191,3927,4254,63
PSCO,"9/5/2022 6 a.m. MDT",4222,3951,4302,80
PSCO,"9/5/2022 7 a.m. MDT",4227,4059,4198,-29
PSCO,"9/5/2022 8 a.m. MDT",4102,4057,4034,-68
PSCO,"9/5/2022 9 a.m. MDT",4314,4238,4216,-98
PSCO,"9/5/2022 10 a.m. MDT",4610,4501,4553,-57
PSCO,"9/5/2022 11 a.m. MDT",4996,4844,4985,-11
PSCO,"9/5/2022 12 p.m. MDT",5435,5275,5497,62
PSCO,"9/5/2022 1 p.m. MDT",5902,5782,6033,131
PSCO,"9/5/2022 2 p.m. MDT",6367,6243,6460,93
PSCO,"9/5/2022 3 p.m. MDT",6805,6670,6886,81
PSCO,"9/5/2022 4 p.m. MDT",7267,7062,7335,68
PSCO,"9/5/2022 5 p.m. MDT",7642,7300,7673,31
PSCO,"9/5/2022 6 p.m. MDT",7797,7503,7864,67
PSCO,"9/5/2022 7 p.m. MDT",7668,7371,7877,209
PSCO,"9/5/2022 8 p.m. MDT",7365,7080,7736,371
PSCO,"9/5/2022 9 p.m. MDT",6952,6790,7005,53
PSCO,"9/5/2022 10 p.m. MDT",6480,6199,6372,-108
PSCO,"9/5/2022 11 p.m. MDT",5850,5632,5879,29
PSCO,"9/6/2022 12 a.m. MDT",5393,5052,5435,42
PSCO,"9/6/2022 1 a.m. MDT",4954,4659,4973,19
PSCO,"9/6/2022 2 a.m. MDT",4707,4385,4899,192
PSCO,"9/6/2022 3 a.m. MDT",4501,4168,4674,173
PSCO,"9/6/2022 4 a.m. MDT",4394,4028,4533,139
PSCO,"9/6/2022 5 a.m. MDT",4405,4111,4495,90
PSCO,"9/6/2022 6 a.m. MDT",4511,4259,4538,27
PSCO,"9/6/2022 7 a.m. MDT",4641,4539,4661,20
PSCO,"9/6/2022 8 a.m. MDT",4764,4677,4852,88
PSCO,"9/6/2022 9 a.m. MDT",4966,4895,4981,15
PSCO,"9/6/2022 10 a.m. MDT",5269,5166,5387,118
PSCO,"9/6/2022 11 a.m. MDT",5655,5451,5733,78
PSCO,"9/6/2022 12 p.m. MDT",6097,5831,6208,111
PSCO,"9/6/2022 1 p.m. MDT",6578,6293,6654,76
PSCO,"9/6/2022 2 p.m. MDT",7085,6754,7167,82
PSCO,"9/6/2022 3 p.m. MDT",7516,7288,7708,192
PSCO,"9/6/2022 4 p.m. MDT",7787,7735,7848,61
PSCO,"9/6/2022 5 p.m. MDT",7990,8048,8006,16
PSCO,"9/6/2022 6 p.m. MDT",8139,8051,8141,2
PSCO,"9/6/2022 7 p.m. MDT",7924,7762,7958,34
PSCO,"9/6/2022 8 p.m. MDT",7711,7468,7576,-135
PSCO,"9/6/2022 9 p.m. MDT",7325,7078,7275,-50
PSCO,"9/6/2022 10 p.m. MDT",6642,6487,6615,-27
PSCO,"9/6/2022 11 p.m. MDT",6035,5779,6188,153
PSCO,"9/7/2022 12 a.m. MDT",5629,5233,5684,55
