"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"2/5/2023 2 a.m. MST",4239,4287,4508,269
PSCO,"2/5/2023 3 a.m. MST",4207,4302,4463,256
PSCO,"2/5/2023 4 a.m. MST",4210,4286,4517,307
PSCO,"2/5/2023 5 a.m. MST",4266,4291,4598,332
PSCO,"2/5/2023 6 a.m. MST",4381,4385,4682,301
PSCO,"2/5/2023 7 a.m. MST",4563,4554,4772,209
PSCO,"2/5/2023 8 a.m. MST",4667,4632,4902,235
PSCO,"2/5/2023 9 a.m. MST",4634,4482,4991,357
PSCO,"2/5/2023 10 a.m. MST",4427,4415,4622,195
PSCO,"2/5/2023 11 a.m. MST",4331,4324,4594,263
PSCO,"2/5/2023 12 p.m. MST",4212,4191,4427,215
PSCO,"2/5/2023 1 p.m. MST",4153,4080,4396,243
PSCO,"2/5/2023 2 p.m. MST",4132,4211,4414,282
PSCO,"2/5/2023 3 p.m. MST",4175,4370,4457,282
PSCO,"2/5/2023 4 p.m. MST",4327,4497,4610,283
PSCO,"2/5/2023 5 p.m. MST",4686,4834,4914,228
PSCO,"2/5/2023 6 p.m. MST",5183,5136,5453,270
PSCO,"2/5/2023 7 p.m. MST",5403,5275,5626,223
PSCO,"2/5/2023 8 p.m. MST",5266,5112,5293,27
PSCO,"2/5/2023 9 p.m. MST",5204,5058,5214,10
PSCO,"2/5/2023 10 p.m. MST",5002,4861,5169,167
PSCO,"2/5/2023 11 p.m. MST",4718,4602,4951,233
PSCO,"2/6/2023 12 a.m. MST",4460,4430,4595,135
PSCO,"2/6/2023 1 a.m. MST",4331,4313,4413,82
PSCO,"2/6/2023 2 a.m. MST",4254,4234,4365,111
PSCO,"2/6/2023 3 a.m. MST",4249,4221,4355,106
PSCO,"2/6/2023 4 a.m. MST",4276,4274,4472,196
PSCO,"2/6/2023 5 a.m. MST",4423,4432,4634,211
PSCO,"2/6/2023 6 a.m. MST",4669,4692,4859,190
PSCO,"2/6/2023 7 a.m. MST",5113,5125,5269,156
PSCO,"2/6/2023 8 a.m. MST",5331,5325,5444,113
PSCO,"2/6/2023 9 a.m. MST",5247,5146,5360,113
PSCO,"2/6/2023 10 a.m. MST",5057,5092,5110,53
PSCO,"2/6/2023 11 a.m. MST",4911,5000,4918,7
PSCO,"2/6/2023 12 p.m. MST",4804,4901,4848,44
PSCO,"2/6/2023 1 p.m. MST",4763,4878,4714,-49
PSCO,"2/6/2023 2 p.m. MST",5015,4882,4837,-178
PSCO,"2/6/2023 3 p.m. MST",4931,4844,4885,-46
PSCO,"2/6/2023 4 p.m. MST",5022,4942,5038,16
PSCO,"2/6/2023 5 p.m. MST",5246,5198,5145,-101
PSCO,"2/6/2023 6 p.m. MST",5609,5480,5592,-17
PSCO,"2/6/2023 7 p.m. MST",5738,5585,5797,59
PSCO,"2/6/2023 8 p.m. MST",5606,5501,5676,70
PSCO,"2/6/2023 9 p.m. MST",5402,5366,5505,103
PSCO,"2/6/2023 10 p.m. MST",5222,5141,5445,223
PSCO,"2/6/2023 11 p.m. MST",4925,4874,5141,216
PSCO,"2/7/2023 12 a.m. MST",4685,4634,4955,270
PSCO,"2/7/2023 1 a.m. MST",4567,4485,4805,238
PSCO,"2/7/2023 2 a.m. MST",4507,4391,4659,152
PSCO,"2/7/2023 3 a.m. MST",4508,4358,4764,256
PSCO,"2/7/2023 4 a.m. MST",4534,4394,4798,264
