"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"3/9/2023 10 p.m. MST",4998,4986,5207,209
PSCO,"3/9/2023 11 p.m. MST",4782,4730,5046,264
PSCO,"3/10/2023 12 a.m. MST",4559,4463,4796,237
PSCO,"3/10/2023 1 a.m. MST",4416,4408,4716,300
PSCO,"3/10/2023 2 a.m. MST",4373,4304,4793,420
PSCO,"3/10/2023 3 a.m. MST",4311,4306,4735,424
PSCO,"3/10/2023 4 a.m. MST",4347,4344,4770,423
PSCO,"3/10/2023 5 a.m. MST",4484,4489,4842,358
PSCO,"3/10/2023 6 a.m. MST",4732,4745,4912,180
PSCO,"3/10/2023 7 a.m. MST",5084,5076,5321,237
PSCO,"3/10/2023 8 a.m. MST",5260,5200,5533,273
PSCO,"3/10/2023 9 a.m. MST",5145,5118,5462,317
PSCO,"3/10/2023 10 a.m. MST",4879,4980,5201,322
PSCO,"3/10/2023 11 a.m. MST",4703,4818,5099,396
PSCO,"3/10/2023 12 p.m. MST",4663,4680,4985,322
PSCO,"3/10/2023 1 p.m. MST",4679,4656,5112,433
PSCO,"3/10/2023 2 p.m. MST",4698,4636,5122,424
PSCO,"3/10/2023 3 p.m. MST",4723,4644,4780,57
PSCO,"3/10/2023 4 p.m. MST",4763,4722,4881,118
PSCO,"3/10/2023 5 p.m. MST",4904,4824,4971,67
PSCO,"3/10/2023 6 p.m. MST",5057,5003,5042,-15
PSCO,"3/10/2023 7 p.m. MST",5198,5106,5195,-3
PSCO,"3/10/2023 8 p.m. MST",5125,5026,5121,-4
PSCO,"3/10/2023 9 p.m. MST",5012,4932,4994,-18
PSCO,"3/10/2023 10 p.m. MST",4823,4804,4851,28
PSCO,"3/10/2023 11 p.m. MST",4553,4613,4608,55
PSCO,"3/11/2023 12 a.m. MST",4366,4346,4485,119
PSCO,"3/11/2023 1 a.m. MST",4173,4180,4271,98
PSCO,"3/11/2023 2 a.m. MST",4014,4075,4269,255
PSCO,"3/11/2023 3 a.m. MST",3969,3993,4085,116
PSCO,"3/11/2023 4 a.m. MST",4004,4029,4080,76
PSCO,"3/11/2023 5 a.m. MST",4019,4063,4163,144
PSCO,"3/11/2023 6 a.m. MST",4193,4191,4282,89
PSCO,"3/11/2023 7 a.m. MST",4321,4316,4442,121
PSCO,"3/11/2023 8 a.m. MST",4230,4370,4430,200
PSCO,"3/11/2023 9 a.m. MST",4211,4378,4494,283
PSCO,"3/11/2023 10 a.m. MST",4257,4310,4614,357
PSCO,"3/11/2023 11 a.m. MST",4173,4273,4475,302
PSCO,"3/11/2023 12 p.m. MST",4100,4261,4369,269
PSCO,"3/11/2023 1 p.m. MST",4046,4217,4209,163
PSCO,"3/11/2023 2 p.m. MST",3957,4197,4021,64
PSCO,"3/11/2023 3 p.m. MST",4055,4249,4149,94
PSCO,"3/11/2023 4 p.m. MST",4140,4389,4119,-21
PSCO,"3/11/2023 5 p.m. MST",4372,4567,4257,-115
PSCO,"3/11/2023 6 p.m. MST",4707,4727,4616,-91
PSCO,"3/11/2023 7 p.m. MST",4979,4914,4997,18
PSCO,"3/11/2023 8 p.m. MST",4918,4901,5006,88
PSCO,"3/11/2023 9 p.m. MST",4810,4830,5049,239
PSCO,"3/11/2023 10 p.m. MST",4671,4681,4727,56
PSCO,"3/11/2023 11 p.m. MST",4478,4448,4513,35
PSCO,"3/12/2023 12 a.m. MST",4356,4238,4512,156
PSCO,"3/12/2023 1 a.m. MST",4236,4166,4298,62
PSCO,"3/12/2023 3 a.m. MDT",4160,0,4117,-43
PSCO,"3/12/2023 4 a.m. MDT",4100,3986,4050,-50
PSCO,"3/12/2023 5 a.m. MDT",4156,4098,4223,67
PSCO,"3/12/2023 6 a.m. MDT",4251,4207,4288,37
PSCO,"3/12/2023 7 a.m. MDT",4397,4369,4345,-52
PSCO,"3/12/2023 8 a.m. MDT",4516,4532,4828,312
PSCO,"3/12/2023 9 a.m. MDT",4527,4469,4952,425
