"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"5/4/2023 7 p.m. MDT",4645,4641,4800,155
PSCO,"5/4/2023 8 p.m. MDT",4685,4607,4689,4
PSCO,"5/4/2023 9 p.m. MDT",4771,4586,4653,-118
PSCO,"5/4/2023 10 p.m. MDT",4608,4466,4461,-147
PSCO,"5/4/2023 11 p.m. MDT",4296,4215,4018,-278
PSCO,"5/5/2023 12 a.m. MDT",3985,3937,3566,-419
PSCO,"5/5/2023 1 a.m. MDT",3794,3711,3624,-170
PSCO,"5/5/2023 2 a.m. MDT",3671,3636,3283,-388
PSCO,"5/5/2023 3 a.m. MDT",3597,3529,3151,-446
PSCO,"5/5/2023 4 a.m. MDT",3620,3531,3238,-382
PSCO,"5/5/2023 5 a.m. MDT",3695,3604,3495,-200
PSCO,"5/5/2023 6 a.m. MDT",3905,3768,3729,-176
PSCO,"5/5/2023 7 a.m. MDT",4119,4030,3924,-195
PSCO,"5/5/2023 8 a.m. MDT",4216,4146,4014,-202
PSCO,"5/5/2023 9 a.m. MDT",4154,4153,3984,-170
PSCO,"5/5/2023 10 a.m. MDT",4103,4195,3729,-374
PSCO,"5/5/2023 11 a.m. MDT",4136,4160,3777,-359
PSCO,"5/5/2023 12 p.m. MDT",4192,4189,3949,-243
PSCO,"5/5/2023 1 p.m. MDT",4331,4263,4120,-211
PSCO,"5/5/2023 2 p.m. MDT",4643,4320,4331,-312
PSCO,"5/5/2023 3 p.m. MDT",4923,4361,4777,-146
PSCO,"5/5/2023 4 p.m. MDT",4912,4631,5007,95
PSCO,"5/5/2023 5 p.m. MDT",4864,4624,4992,128
PSCO,"5/5/2023 6 p.m. MDT",4835,4577,5126,291
PSCO,"5/5/2023 7 p.m. MDT",4879,4511,5087,208
PSCO,"5/5/2023 8 p.m. MDT",4878,4448,5023,145
PSCO,"5/5/2023 9 p.m. MDT",4746,4506,4917,171
PSCO,"5/5/2023 10 p.m. MDT",4519,4366,4426,-93
PSCO,"5/5/2023 11 p.m. MDT",4289,4110,4393,104
PSCO,"5/6/2023 12 a.m. MDT",3970,3913,4098,128
PSCO,"5/6/2023 1 a.m. MDT",3712,3795,3937,225
PSCO,"5/6/2023 2 a.m. MDT",3584,3614,3812,228
PSCO,"5/6/2023 3 a.m. MDT",3510,3612,3349,-161
PSCO,"5/6/2023 4 a.m. MDT",3486,3564,3270,-216
PSCO,"5/6/2023 5 a.m. MDT",3580,3573,3328,-252
PSCO,"5/6/2023 6 a.m. MDT",3680,3590,3377,-303
PSCO,"5/6/2023 7 a.m. MDT",3761,3591,3446,-315
PSCO,"5/6/2023 8 a.m. MDT",3787,3592,3712,-75
PSCO,"5/6/2023 9 a.m. MDT",3785,3640,3873,88
PSCO,"5/6/2023 10 a.m. MDT",3686,3670,3980,294
PSCO,"5/6/2023 11 a.m. MDT",3679,3699,3977,298
PSCO,"5/6/2023 12 p.m. MDT",3676,3748,3838,162
PSCO,"5/6/2023 1 p.m. MDT",3681,3838,3706,25
PSCO,"5/6/2023 2 p.m. MDT",3711,3872,3745,34
PSCO,"5/6/2023 3 p.m. MDT",3907,3993,3844,-63
PSCO,"5/6/2023 4 p.m. MDT",4125,4121,4251,126
PSCO,"5/6/2023 5 p.m. MDT",4331,4207,4696,365
PSCO,"5/6/2023 6 p.m. MDT",4394,4383,4820,426
PSCO,"5/6/2023 7 p.m. MDT",4434,4524,4919,485
PSCO,"5/6/2023 8 p.m. MDT",4443,4608,4788,345
PSCO,"5/6/2023 9 p.m. MDT",4498,4538,4900,402
PSCO,"5/6/2023 10 p.m. MDT",4394,4420,4639,245
PSCO,"5/6/2023 11 p.m. MDT",4132,4206,4495,363
PSCO,"5/7/2023 12 a.m. MDT",3889,3938,4433,544
PSCO,"5/7/2023 1 a.m. MDT",3708,3732,4157,449
PSCO,"5/7/2023 2 a.m. MDT",3564,3621,3982,418
PSCO,"5/7/2023 3 a.m. MDT",3458,3526,4007,549
PSCO,"5/7/2023 4 a.m. MDT",3454,3508,4051,597
PSCO,"5/7/2023 5 a.m. MDT",3447,3513,3965,518
PSCO,"5/7/2023 6 a.m. MDT",3555,3517,3811,256
PSCO,"5/7/2023 7 a.m. MDT",3592,3524,3589,-3
PSCO,"5/7/2023 8 a.m. MDT",3611,3536,3586,-25
PSCO,"5/7/2023 9 a.m. MDT",3640,3546,3734,94
PSCO,"5/7/2023 10 a.m. MDT",3663,3546,3743,80
PSCO,"5/7/2023 11 a.m. MDT",3745,3538,3774,29
PSCO,"5/7/2023 12 p.m. MDT",3862,3603,3740,-122
PSCO,"5/7/2023 1 p.m. MDT",3861,3651,3871,10
PSCO,"5/7/2023 2 p.m. MDT",3876,3645,3840,-36
PSCO,"5/7/2023 3 p.m. MDT",3917,3784,3925,8
PSCO,"5/7/2023 4 p.m. MDT",4070,3902,4082,12
PSCO,"5/7/2023 5 p.m. MDT",4212,4074,4081,-131
PSCO,"5/7/2023 6 p.m. MDT",4412,4244,4567,155
PSCO,"5/7/2023 7 p.m. MDT",4477,4532,4643,166
PSCO,"5/7/2023 8 p.m. MDT",4552,4508,4760,208
PSCO,"5/7/2023 9 p.m. MDT",4633,4456,4680,47
PSCO,"5/7/2023 10 p.m. MDT",4496,4291,4568,72
PSCO,"5/7/2023 11 p.m. MDT",4155,4081,4172,17
PSCO,"5/8/2023 12 a.m. MDT",3870,3801,3779,-91
PSCO,"5/8/2023 1 a.m. MDT",3672,3695,3676,4
PSCO,"5/8/2023 2 a.m. MDT",3496,3593,3401,-95
PSCO,"5/8/2023 3 a.m. MDT",3459,3528,3404,-55
PSCO,"5/8/2023 4 a.m. MDT",3472,3537,3396,-76
PSCO,"5/8/2023 5 a.m. MDT",3584,3629,3540,-44
PSCO,"5/8/2023 6 a.m. MDT",3810,3845,3650,-160
PSCO,"5/8/2023 7 a.m. MDT",4076,4090,4027,-49
