BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
PSCO,1/4/2023 6 a.m. MST,5069.0,5147.0,5718.0,649.0
PSCO,1/4/2023 7 a.m. MST,5411.0,5509.0,5915.0,504.0
PSCO,1/4/2023 8 a.m. MST,5599.0,5674.0,6234.0,635.0
PSCO,1/4/2023 9 a.m. MST,5587.0,5503.0,6289.0,702.0
PSCO,1/4/2023 10 a.m. MST,5524.0,5272.0,6201.0,677.0
PSCO,1/4/2023 11 a.m. MST,5479.0,5123.0,6072.0,593.0
PSCO,1/4/2023 12 p.m. MST,5370.0,5024.0,5950.0,580.0
PSCO,1/4/2023 1 p.m. MST,5348.0,5016.0,5781.0,433.0
PSCO,1/4/2023 2 p.m. MST,5218.0,4959.0,5798.0,580.0
PSCO,1/4/2023 3 p.m. MST,5160.0,5007.0,5785.0,625.0
PSCO,1/4/2023 4 p.m. MST,5252.0,5143.0,5738.0,486.0
PSCO,1/4/2023 5 p.m. MST,5546.0,5558.0,5890.0,344.0
PSCO,1/4/2023 6 p.m. MST,5982.0,5877.0,6215.0,233.0
PSCO,1/4/2023 7 p.m. MST,5956.0,5913.0,6190.0,234.0
PSCO,1/4/2023 8 p.m. MST,5832.0,5830.0,6083.0,251.0
PSCO,1/4/2023 9 p.m. MST,5740.0,5659.0,5984.0,244.0
PSCO,1/4/2023 10 p.m. MST,5487.0,5471.0,5676.0,189.0
PSCO,1/4/2023 11 p.m. MST,5197.0,5170.0,5433.0,236.0
PSCO,1/5/2023 12 a.m. MST,4977.0,4835.0,5202.0,225.0
PSCO,1/5/2023 1 a.m. MST,4866.0,4707.0,5220.0,354.0
PSCO,1/5/2023 2 a.m. MST,4789.0,4637.0,5178.0,389.0
PSCO,1/5/2023 3 a.m. MST,4729.0,4599.0,5066.0,337.0
PSCO,1/5/2023 4 a.m. MST,4778.0,4630.0,5053.0,275.0
PSCO,1/5/2023 5 a.m. MST,4909.0,4735.0,5251.0,342.0
PSCO,1/5/2023 6 a.m. MST,5203.0,5030.0,5468.0,265.0
PSCO,1/5/2023 7 a.m. MST,5550.0,5433.0,5623.0,73.0
PSCO,1/5/2023 8 a.m. MST,5676.0,5624.0,5784.0,108.0
PSCO,1/5/2023 9 a.m. MST,5693.0,5617.0,5758.0,65.0
PSCO,1/5/2023 10 a.m. MST,5713.0,5493.0,5882.0,169.0
PSCO,1/5/2023 11 a.m. MST,5703.0,5210.0,6043.0,340.0
PSCO,1/5/2023 12 p.m. MST,5597.0,5140.0,5951.0,354.0
PSCO,1/5/2023 1 p.m. MST,5478.0,5122.0,5899.0,421.0
PSCO,1/5/2023 2 p.m. MST,5399.0,5072.0,5816.0,417.0
PSCO,1/5/2023 3 p.m. MST,5227.0,5040.0,5665.0,438.0
PSCO,1/5/2023 4 p.m. MST,5255.0,5180.0,5678.0,423.0
PSCO,1/5/2023 5 p.m. MST,5588.0,5430.0,5913.0,325.0
PSCO,1/5/2023 6 p.m. MST,6008.0,5803.0,6278.0,270.0
PSCO,1/5/2023 7 p.m. MST,6000.0,5729.0,6288.0,288.0
PSCO,1/5/2023 8 p.m. MST,5888.0,5618.0,6164.0,276.0
PSCO,1/5/2023 9 p.m. MST,5729.0,5495.0,6014.0,285.0
PSCO,1/5/2023 10 p.m. MST,5480.0,5269.0,5776.0,296.0
PSCO,1/5/2023 11 p.m. MST,5139.0,4983.0,5420.0,281.0
PSCO,1/6/2023 12 a.m. MST,4938.0,4734.0,5135.0,197.0
PSCO,1/6/2023 1 a.m. MST,4730.0,4601.0,4761.0,31.0
PSCO,1/6/2023 2 a.m. MST,4635.0,4502.0,4664.0,29.0
PSCO,1/6/2023 3 a.m. MST,4614.0,4506.0,4643.0,29.0
PSCO,1/6/2023 4 a.m. MST,4630.0,4569.0,4640.0,10.0
PSCO,1/6/2023 5 a.m. MST,4759.0,4688.0,4823.0,64.0
PSCO,1/6/2023 6 a.m. MST,4993.0,4907.0,5112.0,119.0
PSCO,1/6/2023 7 a.m. MST,5360.0,5308.0,5602.0,242.0
PSCO,1/6/2023 8 a.m. MST,5497.0,5504.0,5846.0,349.0
PSCO,1/6/2023 9 a.m. MST,5521.0,5466.0,5829.0,308.0
PSCO,1/6/2023 10 a.m. MST,5468.0,5339.0,5693.0,225.0
PSCO,1/6/2023 11 a.m. MST,5422.0,5274.0,5591.0,169.0
PSCO,1/6/2023 12 p.m. MST,5337.0,5177.0,5554.0,217.0
PSCO,1/6/2023 1 p.m. MST,5288.0,5167.0,5472.0,184.0
PSCO,1/6/2023 2 p.m. MST,5170.0,5184.0,5403.0,233.0
PSCO,1/6/2023 3 p.m. MST,5125.0,5245.0,5487.0,362.0
PSCO,1/6/2023 4 p.m. MST,5271.0,5426.0,5439.0,168.0
PSCO,1/6/2023 5 p.m. MST,5367.0,5688.0,5599.0,232.0
PSCO,1/6/2023 6 p.m. MST,5797.0,5965.0,5990.0,193.0
PSCO,1/6/2023 7 p.m. MST,5724.0,5568.0,5913.0,189.0
PSCO,1/6/2023 8 p.m. MST,5596.0,5433.0,5745.0,149.0
PSCO,1/6/2023 9 p.m. MST,5459.0,5276.0,5642.0,183.0
PSCO,1/6/2023 10 p.m. MST,5303.0,5149.0,5616.0,313.0
PSCO,1/6/2023 11 p.m. MST,5036.0,4922.0,5464.0,428.0
PSCO,1/7/2023 12 a.m. MST,4816.0,4696.0,5360.0,544.0
PSCO,1/7/2023 1 a.m. MST,4692.0,4520.0,5285.0,593.0
PSCO,1/7/2023 2 a.m. MST,4521.0,4456.0,5226.0,705.0
PSCO,1/7/2023 3 a.m. MST,4424.0,4429.0,5176.0,752.0
PSCO,1/7/2023 4 a.m. MST,4466.0,4424.0,5122.0,656.0
PSCO,1/7/2023 5 a.m. MST,4563.0,4435.0,5151.0,588.0
PSCO,1/7/2023 6 a.m. MST,4696.0,4514.0,5194.0,498.0
PSCO,1/7/2023 7 a.m. MST,4903.0,4771.0,5299.0,396.0
PSCO,1/7/2023 8 a.m. MST,4979.0,4937.0,5366.0,387.0
PSCO,1/7/2023 9 a.m. MST,4981.0,4956.0,5338.0,357.0
PSCO,1/7/2023 10 a.m. MST,4900.0,4875.0,5230.0,330.0
PSCO,1/7/2023 11 a.m. MST,4740.0,4802.0,4995.0,255.0
PSCO,1/7/2023 12 p.m. MST,4724.0,4693.0,4976.0,252.0
PSCO,1/7/2023 1 p.m. MST,4621.0,4513.0,4889.0,268.0
PSCO,1/7/2023 2 p.m. MST,4561.0,4467.0,4805.0,244.0
PSCO,1/7/2023 3 p.m. MST,4537.0,4516.0,4813.0,276.0
PSCO,1/7/2023 4 p.m. MST,4641.0,4694.0,4895.0,254.0
PSCO,1/7/2023 5 p.m. MST,4969.0,4904.0,5077.0,108.0
PSCO,1/7/2023 6 p.m. MST,5384.0,5396.0,5493.0,109.0
PSCO,1/7/2023 7 p.m. MST,5449.0,5412.0,5591.0,142.0
PSCO,1/7/2023 8 p.m. MST,5410.0,5344.0,5532.0,122.0
PSCO,1/7/2023 9 p.m. MST,5332.0,5236.0,5465.0,133.0
PSCO,1/7/2023 10 p.m. MST,5153.0,5121.0,5427.0,274.0
PSCO,1/7/2023 11 p.m. MST,4965.0,5013.0,5257.0,292.0
PSCO,1/8/2023 12 a.m. MST,4837.0,4811.0,5103.0,266.0
PSCO,1/8/2023 1 a.m. MST,4670.0,4711.0,5013.0,343.0
PSCO,1/8/2023 2 a.m. MST,4508.0,4610.0,4803.0,295.0
PSCO,1/8/2023 3 a.m. MST,4435.0,4555.0,4678.0,243.0
PSCO,1/8/2023 4 a.m. MST,4447.0,4482.0,4682.0,235.0
PSCO,1/8/2023 5 a.m. MST,4540.0,4544.0,4776.0,236.0
PSCO,1/8/2023 6 a.m. MST,4643.0,4649.0,4804.0,161.0
PSCO,1/8/2023 7 a.m. MST,4807.0,4769.0,4915.0,108.0
PSCO,1/8/2023 8 a.m. MST,4858.0,4861.0,5071.0,213.0
PSCO,1/8/2023 9 a.m. MST,4910.0,4708.0,5194.0,284.0
PSCO,1/8/2023 10 a.m. MST,4888.0,4555.0,5173.0,285.0
PSCO,1/8/2023 11 a.m. MST,4709.0,4460.0,4958.0,249.0
PSCO,1/8/2023 12 p.m. MST,4647.0,4384.0,4886.0,239.0
PSCO,1/8/2023 1 p.m. MST,4590.0,4299.0,4812.0,222.0
PSCO,1/8/2023 2 p.m. MST,4546.0,4460.0,4731.0,185.0
PSCO,1/8/2023 3 p.m. MST,4500.0,4599.0,4671.0,171.0
PSCO,1/8/2023 4 p.m. MST,4700.0,4737.0,4721.0,21.0
PSCO,1/8/2023 5 p.m. MST,5108.0,5085.0,5207.0,99.0
PSCO,1/8/2023 6 p.m. MST,5480.0,5385.0,5617.0,137.0
PSCO,1/8/2023 7 p.m. MST,5524.0,5595.0,5719.0,195.0
PSCO,1/8/2023 8 p.m. MST,5511.0,5344.0,5692.0,181.0
PSCO,1/8/2023 9 p.m. MST,5283.0,5332.0,5512.0,229.0
PSCO,1/8/2023 10 p.m. MST,5014.0,5065.0,5306.0,292.0
PSCO,1/8/2023 11 p.m. MST,4783.0,4763.0,5082.0,299.0
PSCO,1/9/2023 12 a.m. MST,4608.0,4580.0,5038.0,430.0
PSCO,1/9/2023 1 a.m. MST,4403.0,4458.0,4821.0,418.0
PSCO,1/9/2023 2 a.m. MST,4292.0,4431.0,4714.0,422.0
PSCO,1/9/2023 3 a.m. MST,4278.0,4427.0,4680.0,402.0
PSCO,1/9/2023 4 a.m. MST,4317.0,4505.0,4688.0,371.0
PSCO,1/9/2023 5 a.m. MST,4436.0,4642.0,4822.0,386.0
PSCO,1/9/2023 6 a.m. MST,4733.0,4870.0,5038.0,305.0
PSCO,1/9/2023 7 a.m. MST,5176.0,5245.0,5496.0,320.0
PSCO,1/9/2023 8 a.m. MST,5374.0,5445.0,5694.0,320.0
PSCO,1/9/2023 9 a.m. MST,5237.0,5339.0,5554.0,317.0
PSCO,1/9/2023 10 a.m. MST,5062.0,5188.0,5305.0,243.0
PSCO,1/9/2023 11 a.m. MST,4970.0,5096.0,5151.0,181.0
PSCO,1/9/2023 12 p.m. MST,4958.0,4953.0,5146.0,188.0
PSCO,1/9/2023 1 p.m. MST,5066.0,4873.0,5305.0,239.0
