"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"10/4/2022 5 p.m. MDT",4637,4809,3884,-753
PSCO,"10/4/2022 6 p.m. MDT",4819,4886,4175,-644
PSCO,"10/4/2022 7 p.m. MDT",4888,4895,4228,-660
PSCO,"10/4/2022 8 p.m. MDT",4843,4997,4211,-632
PSCO,"10/4/2022 9 p.m. MDT",4712,4814,4044,-668
PSCO,"10/4/2022 10 p.m. MDT",4409,4541,3735,-674
PSCO,"10/4/2022 11 p.m. MDT",4117,4188,3685,-432
PSCO,"10/5/2022 12 a.m. MDT",3860,3909,3564,-296
PSCO,"10/5/2022 1 a.m. MDT",3650,3725,3384,-266
PSCO,"10/5/2022 2 a.m. MDT",3527,3587,3352,-175
PSCO,"10/5/2022 3 a.m. MDT",3465,3529,3357,-108
PSCO,"10/5/2022 4 a.m. MDT",3455,3483,3259,-196
PSCO,"10/5/2022 5 a.m. MDT",3531,3581,3303,-228
PSCO,"10/5/2022 6 a.m. MDT",3679,3786,3249,-430
PSCO,"10/5/2022 7 a.m. MDT",4049,4190,3575,-474
PSCO,"10/5/2022 8 a.m. MDT",4252,4357,3860,-392
PSCO,"10/5/2022 9 a.m. MDT",4225,4377,3912,-313
PSCO,"10/5/2022 10 a.m. MDT",4153,4343,3803,-350
PSCO,"10/5/2022 11 a.m. MDT",4137,4283,3758,-379
PSCO,"10/5/2022 12 p.m. MDT",4155,4299,3771,-384
PSCO,"10/5/2022 1 p.m. MDT",4197,4299,3810,-387
PSCO,"10/5/2022 2 p.m. MDT",4252,4402,3871,-381
PSCO,"10/5/2022 3 p.m. MDT",4323,4482,3958,-365
PSCO,"10/5/2022 4 p.m. MDT",4448,4609,4040,-408
PSCO,"10/5/2022 5 p.m. MDT",4622,4849,4087,-535
PSCO,"10/5/2022 6 p.m. MDT",4788,4941,4220,-568
PSCO,"10/5/2022 7 p.m. MDT",4857,4925,4259,-598
PSCO,"10/5/2022 8 p.m. MDT",4846,4919,4310,-536
PSCO,"10/5/2022 9 p.m. MDT",4653,4783,4244,-409
PSCO,"10/5/2022 10 p.m. MDT",4376,4513,4050,-326
PSCO,"10/5/2022 11 p.m. MDT",4026,4171,3731,-295
PSCO,"10/6/2022 12 a.m. MDT",3734,3902,3410,-324
PSCO,"10/6/2022 1 a.m. MDT",3571,3722,3432,-139
PSCO,"10/6/2022 2 a.m. MDT",3510,3613,3341,-169
PSCO,"10/6/2022 3 a.m. MDT",3426,3521,3221,-205
PSCO,"10/6/2022 4 a.m. MDT",3474,3472,3239,-235
PSCO,"10/6/2022 5 a.m. MDT",3511,3530,3265,-246
PSCO,"10/6/2022 6 a.m. MDT",3717,3771,3372,-345
PSCO,"10/6/2022 7 a.m. MDT",4086,4182,3697,-389
PSCO,"10/6/2022 8 a.m. MDT",4265,4367,3985,-280
PSCO,"10/6/2022 9 a.m. MDT",4188,4316,3905,-283
PSCO,"10/6/2022 10 a.m. MDT",4104,4270,3773,-331
PSCO,"10/6/2022 11 a.m. MDT",4072,4209,3704,-368
PSCO,"10/6/2022 12 p.m. MDT",4095,4230,3769,-326
PSCO,"10/6/2022 1 p.m. MDT",4122,4235,3803,-319
PSCO,"10/6/2022 2 p.m. MDT",4238,4365,3917,-321
PSCO,"10/6/2022 3 p.m. MDT",4321,4459,4017,-304
PSCO,"10/6/2022 4 p.m. MDT",4482,4586,4146,-336
PSCO,"10/6/2022 5 p.m. MDT",4677,4820,4309,-368
PSCO,"10/6/2022 6 p.m. MDT",4831,4951,4423,-408
PSCO,"10/6/2022 7 p.m. MDT",4836,4949,4508,-328
PSCO,"10/6/2022 8 p.m. MDT",4883,4998,4718,-165
PSCO,"10/6/2022 9 p.m. MDT",4750,4821,4685,-65
PSCO,"10/6/2022 10 p.m. MDT",4507,4530,4487,-20
PSCO,"10/6/2022 11 p.m. MDT",4195,4199,4184,-11
PSCO,"10/7/2022 12 a.m. MDT",3851,3907,3755,-96
PSCO,"10/7/2022 1 a.m. MDT",3587,3746,3645,58
PSCO,"10/7/2022 2 a.m. MDT",3403,3596,3610,207
PSCO,"10/7/2022 3 a.m. MDT",3353,3552,3567,214
PSCO,"10/7/2022 4 a.m. MDT",3357,3503,3412,55
PSCO,"10/7/2022 5 a.m. MDT",3487,3555,3520,33
PSCO,"10/7/2022 6 a.m. MDT",3686,3782,3509,-177
PSCO,"10/7/2022 7 a.m. MDT",3971,4196,3727,-244
PSCO,"10/7/2022 8 a.m. MDT",4271,4356,4106,-165
PSCO,"10/7/2022 9 a.m. MDT",4478,4377,4304,-174
PSCO,"10/7/2022 10 a.m. MDT",4454,4383,4363,-91
PSCO,"10/7/2022 11 a.m. MDT",4508,4285,4385,-123
PSCO,"10/7/2022 12 p.m. MDT",4420,4293,4237,-183
PSCO,"10/7/2022 1 p.m. MDT",4374,4284,4155,-219
PSCO,"10/7/2022 2 p.m. MDT",4387,4357,4142,-245
PSCO,"10/7/2022 3 p.m. MDT",4360,4366,4097,-263
PSCO,"10/7/2022 4 p.m. MDT",4363,4360,4130,-233
PSCO,"10/7/2022 5 p.m. MDT",4450,4515,3969,-481
PSCO,"10/7/2022 6 p.m. MDT",4483,4548,3996,-487
PSCO,"10/7/2022 7 p.m. MDT",4597,4704,4006,-591
PSCO,"10/7/2022 8 p.m. MDT",4609,4773,4061,-548
PSCO,"10/7/2022 9 p.m. MDT",4459,4592,3967,-492
PSCO,"10/7/2022 10 p.m. MDT",4265,4407,3843,-422
PSCO,"10/7/2022 11 p.m. MDT",4036,4157,3707,-329
PSCO,"10/8/2022 12 a.m. MDT",3790,3918,3474,-316
PSCO,"10/8/2022 1 a.m. MDT",3620,3796,3418,-202
PSCO,"10/8/2022 2 a.m. MDT",3513,3693,3385,-128
PSCO,"10/8/2022 3 a.m. MDT",3459,3611,3275,-184
PSCO,"10/8/2022 4 a.m. MDT",3408,3644,3264,-144
PSCO,"10/8/2022 5 a.m. MDT",3449,3663,3300,-149
PSCO,"10/8/2022 6 a.m. MDT",3557,3773,3371,-186
PSCO,"10/8/2022 7 a.m. MDT",3674,3946,3464,-210
PSCO,"10/8/2022 8 a.m. MDT",3869,4024,3635,-234
PSCO,"10/8/2022 9 a.m. MDT",3948,4043,3772,-176
PSCO,"10/8/2022 10 a.m. MDT",3844,3936,3721,-123
PSCO,"10/8/2022 11 a.m. MDT",3723,3939,3584,-139
PSCO,"10/8/2022 12 p.m. MDT",3637,3937,3553,-84
PSCO,"10/8/2022 1 p.m. MDT",3634,3911,3541,-93
PSCO,"10/8/2022 2 p.m. MDT",3638,3841,3513,-125
PSCO,"10/8/2022 3 p.m. MDT",3650,3869,3504,-146
PSCO,"10/8/2022 4 p.m. MDT",3742,4048,3570,-172
PSCO,"10/8/2022 5 p.m. MDT",3993,4131,3776,-217
PSCO,"10/8/2022 6 p.m. MDT",4221,4301,4014,-207
PSCO,"10/8/2022 7 p.m. MDT",4382,4437,4038,-344
PSCO,"10/8/2022 8 p.m. MDT",4403,4604,4041,-362
PSCO,"10/8/2022 9 p.m. MDT",4273,4447,3983,-290
PSCO,"10/8/2022 10 p.m. MDT",4097,4251,3869,-228
PSCO,"10/8/2022 11 p.m. MDT",3869,4009,3619,-250
PSCO,"10/9/2022 12 a.m. MDT",3669,3852,3435,-234
PSCO,"10/9/2022 1 a.m. MDT",3517,3802,3362,-155
PSCO,"10/9/2022 2 a.m. MDT",3400,3695,3312,-88
PSCO,"10/9/2022 3 a.m. MDT",3336,3604,3249,-87
PSCO,"10/9/2022 4 a.m. MDT",3328,3558,3208,-120
PSCO,"10/9/2022 5 a.m. MDT",3350,3567,3186,-164
PSCO,"10/9/2022 6 a.m. MDT",3465,3628,3268,-197
PSCO,"10/9/2022 7 a.m. MDT",3615,3842,3447,-168
PSCO,"10/9/2022 8 a.m. MDT",3705,3859,3559,-146
PSCO,"10/9/2022 9 a.m. MDT",3647,3880,3603,-44
PSCO,"10/9/2022 10 a.m. MDT",3638,3921,3574,-64
PSCO,"10/9/2022 11 a.m. MDT",3646,3975,3594,-52
PSCO,"10/9/2022 12 p.m. MDT",3630,4044,3691,61
PSCO,"10/9/2022 1 p.m. MDT",3680,4083,3726,46
PSCO,"10/9/2022 2 p.m. MDT",3735,4026,3717,-18
PSCO,"10/9/2022 3 p.m. MDT",3833,4170,3795,-38
PSCO,"10/9/2022 4 p.m. MDT",3982,4314,3896,-86
PSCO,"10/9/2022 5 p.m. MDT",4230,4360,3997,-233
