"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"8/4/2022 6 p.m. MDT",8346,8215,8336,-10
PSCO,"8/4/2022 7 p.m. MDT",8168,7884,8131,-37
PSCO,"8/4/2022 8 p.m. MDT",7814,7574,7675,-139
PSCO,"8/4/2022 9 p.m. MDT",7488,7307,7501,13
PSCO,"8/4/2022 10 p.m. MDT",7117,6942,7242,125
PSCO,"8/4/2022 11 p.m. MDT",6572,6235,6671,99
PSCO,"8/5/2022 12 a.m. MDT",6036,5751,6044,8
PSCO,"8/5/2022 1 a.m. MDT",5728,5283,5837,109
PSCO,"8/5/2022 2 a.m. MDT",5365,4996,5393,28
PSCO,"8/5/2022 3 a.m. MDT",5107,4788,5194,87
PSCO,"8/5/2022 4 a.m. MDT",4958,4614,5056,98
PSCO,"8/5/2022 5 a.m. MDT",4857,4564,4894,37
PSCO,"8/5/2022 6 a.m. MDT",4964,4693,5132,168
PSCO,"8/5/2022 7 a.m. MDT",5119,4813,5254,135
PSCO,"8/5/2022 8 a.m. MDT",5464,5055,5495,31
PSCO,"8/5/2022 9 a.m. MDT",5776,5417,5761,-15
PSCO,"8/5/2022 10 a.m. MDT",6050,5834,5987,-63
PSCO,"8/5/2022 11 a.m. MDT",6552,6295,6355,-197
PSCO,"8/5/2022 12 p.m. MDT",7042,6803,6786,-256
PSCO,"8/5/2022 1 p.m. MDT",7520,7370,7373,-147
PSCO,"8/5/2022 2 p.m. MDT",7926,7768,7826,-100
PSCO,"8/5/2022 3 p.m. MDT",8215,8181,8093,-122
PSCO,"8/5/2022 4 p.m. MDT",8159,8356,8069,-90
PSCO,"8/5/2022 5 p.m. MDT",7896,8244,7861,-35
PSCO,"8/5/2022 6 p.m. MDT",7690,8153,7618,-72
PSCO,"8/5/2022 7 p.m. MDT",7387,7983,7201,-186
PSCO,"8/5/2022 8 p.m. MDT",7118,7522,6901,-217
PSCO,"8/5/2022 9 p.m. MDT",6950,7256,6746,-204
PSCO,"8/5/2022 10 p.m. MDT",6640,6863,6512,-128
PSCO,"8/5/2022 11 p.m. MDT",6183,6271,6223,40
PSCO,"8/6/2022 12 a.m. MDT",5709,5752,5917,208
PSCO,"8/6/2022 1 a.m. MDT",5451,5196,5756,305
PSCO,"8/6/2022 2 a.m. MDT",5169,4882,5452,283
