"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
PSCO,"12/4/2022 10 p.m. MST",4856,5102,5129,273
PSCO,"12/4/2022 11 p.m. MST",4552,4815,4730,178
PSCO,"12/5/2022 12 a.m. MST",4215,4465,4401,186
PSCO,"12/5/2022 1 a.m. MST",4063,4342,4363,300
PSCO,"12/5/2022 2 a.m. MST",3979,4256,4202,223
PSCO,"12/5/2022 3 a.m. MST",3994,4259,4259,265
PSCO,"12/5/2022 4 a.m. MST",4026,4265,4308,282
PSCO,"12/5/2022 5 a.m. MST",4107,4377,4486,379
PSCO,"12/5/2022 6 a.m. MST",4373,4643,4670,297
PSCO,"12/5/2022 7 a.m. MST",4798,5127,5037,239
PSCO,"12/5/2022 8 a.m. MST",5033,5328,5323,290
PSCO,"12/5/2022 9 a.m. MST",4931,5311,5227,296
PSCO,"12/5/2022 10 a.m. MST",4784,5168,5018,234
PSCO,"12/5/2022 11 a.m. MST",4741,5125,5018,277
PSCO,"12/5/2022 12 p.m. MST",4683,5099,4857,174
PSCO,"12/5/2022 1 p.m. MST",4689,5032,4786,97
PSCO,"12/5/2022 2 p.m. MST",4688,5008,4712,24
PSCO,"12/5/2022 3 p.m. MST",4726,5021,4723,-3
PSCO,"12/5/2022 4 p.m. MST",4919,5134,5012,93
PSCO,"12/5/2022 5 p.m. MST",5227,5373,5201,-26
PSCO,"12/5/2022 6 p.m. MST",5548,5685,5794,246
PSCO,"12/5/2022 7 p.m. MST",5515,5640,5800,285
PSCO,"12/5/2022 8 p.m. MST",5401,5546,5655,254
PSCO,"12/5/2022 9 p.m. MST",5266,5376,5528,262
PSCO,"12/5/2022 10 p.m. MST",5016,5154,5396,380
PSCO,"12/5/2022 11 p.m. MST",4655,4818,4826,171
PSCO,"12/6/2022 12 a.m. MST",4375,4624,4631,256
PSCO,"12/6/2022 1 a.m. MST",4276,4476,4670,394
PSCO,"12/6/2022 2 a.m. MST",4273,4405,4669,396
PSCO,"12/6/2022 3 a.m. MST",4256,4380,4673,417
PSCO,"12/6/2022 4 a.m. MST",4305,4405,4681,376
PSCO,"12/6/2022 5 a.m. MST",4412,4473,4841,429
PSCO,"12/6/2022 6 a.m. MST",4722,4732,5053,331
PSCO,"12/6/2022 7 a.m. MST",5168,5217,5385,217
PSCO,"12/6/2022 8 a.m. MST",5337,5399,5571,234
PSCO,"12/6/2022 9 a.m. MST",5196,5283,5493,297
PSCO,"12/6/2022 10 a.m. MST",5078,4987,5260,182
PSCO,"12/6/2022 11 a.m. MST",4969,4871,5257,288
PSCO,"12/6/2022 12 p.m. MST",4861,4789,5163,302
PSCO,"12/6/2022 1 p.m. MST",4823,4740,5035,212
PSCO,"12/6/2022 2 p.m. MST",4835,4701,5036,201
PSCO,"12/6/2022 3 p.m. MST",4898,4767,4966,68
PSCO,"12/6/2022 4 p.m. MST",5055,5041,5106,51
PSCO,"12/6/2022 5 p.m. MST",5383,5395,5543,160
PSCO,"12/6/2022 6 p.m. MST",5702,5733,6006,304
PSCO,"12/6/2022 7 p.m. MST",5608,5627,5923,315
PSCO,"12/6/2022 8 p.m. MST",5492,5522,5845,353
PSCO,"12/6/2022 9 p.m. MST",5359,5392,5631,272
PSCO,"12/6/2022 10 p.m. MST",5161,5171,5501,340
PSCO,"12/6/2022 11 p.m. MST",4873,4822,5144,271
PSCO,"12/7/2022 12 a.m. MST",4592,4629,4851,259
PSCO,"12/7/2022 1 a.m. MST",4409,4492,4758,349
PSCO,"12/7/2022 2 a.m. MST",4294,4402,4631,337
PSCO,"12/7/2022 3 a.m. MST",4242,4364,4650,408
PSCO,"12/7/2022 4 a.m. MST",4321,4382,4717,396
PSCO,"12/7/2022 5 a.m. MST",4456,4510,4898,442
PSCO,"12/7/2022 6 a.m. MST",4738,4789,5103,365
PSCO,"12/7/2022 7 a.m. MST",5143,5269,5506,363
PSCO,"12/7/2022 8 a.m. MST",5332,5423,5660,328
PSCO,"12/7/2022 9 a.m. MST",5176,5199,5515,339
PSCO,"12/7/2022 10 a.m. MST",5007,5013,5254,247
PSCO,"12/7/2022 11 a.m. MST",4850,4888,5095,245
PSCO,"12/7/2022 12 p.m. MST",4739,4805,4925,186
PSCO,"12/7/2022 1 p.m. MST",4696,4750,4950,254
PSCO,"12/7/2022 2 p.m. MST",4754,4735,4931,177
PSCO,"12/7/2022 3 p.m. MST",4901,4824,5020,119
PSCO,"12/7/2022 4 p.m. MST",5105,4943,5177,72
PSCO,"12/7/2022 5 p.m. MST",5462,5331,5704,242
PSCO,"12/7/2022 6 p.m. MST",5828,5732,5976,148
PSCO,"12/7/2022 7 p.m. MST",5689,5667,5947,258
PSCO,"12/7/2022 8 p.m. MST",5587,5554,5983,396
PSCO,"12/7/2022 9 p.m. MST",5444,5427,5827,383
PSCO,"12/7/2022 10 p.m. MST",5242,5210,5683,441
PSCO,"12/7/2022 11 p.m. MST",4917,4871,5175,258
PSCO,"12/8/2022 12 a.m. MST",4606,4650,5004,398
PSCO,"12/8/2022 1 a.m. MST",4467,4456,5103,636
PSCO,"12/8/2022 2 a.m. MST",4395,4364,5017,622
PSCO,"12/8/2022 3 a.m. MST",4407,4341,5005,598
PSCO,"12/8/2022 4 a.m. MST",4462,4364,5024,562
PSCO,"12/8/2022 5 a.m. MST",4539,4510,5154,615
PSCO,"12/8/2022 6 a.m. MST",4801,4795,5463,662
PSCO,"12/8/2022 7 a.m. MST",5230,5290,6021,791
PSCO,"12/8/2022 8 a.m. MST",5444,5477,6219,775
PSCO,"12/8/2022 9 a.m. MST",5215,5404,6061,846
PSCO,"12/8/2022 10 a.m. MST",5026,5134,5892,866
PSCO,"12/8/2022 11 a.m. MST",4849,4921,5787,938
PSCO,"12/8/2022 12 p.m. MST",4809,4829,5662,853
PSCO,"12/8/2022 1 p.m. MST",4753,4786,5442,689
PSCO,"12/8/2022 2 p.m. MST",4848,4806,5678,830
PSCO,"12/8/2022 3 p.m. MST",4875,4902,5515,640
PSCO,"12/8/2022 4 p.m. MST",5033,5000,5795,762
PSCO,"12/8/2022 5 p.m. MST",5427,5392,6305,878
PSCO,"12/8/2022 6 p.m. MST",5807,5721,6602,795
PSCO,"12/8/2022 7 p.m. MST",5773,5665,6389,616
PSCO,"12/8/2022 8 p.m. MST",5661,5548,6270,609
PSCO,"12/8/2022 9 p.m. MST",5568,5445,6114,546
PSCO,"12/8/2022 10 p.m. MST",5354,5257,5725,371
PSCO,"12/8/2022 11 p.m. MST",5049,4953,5489,440
PSCO,"12/9/2022 12 a.m. MST",4771,4740,5273,502
PSCO,"12/9/2022 1 a.m. MST",4637,4594,5110,473
PSCO,"12/9/2022 2 a.m. MST",4598,4522,5157,559
PSCO,"12/9/2022 3 a.m. MST",4560,4508,5116,556
PSCO,"12/9/2022 4 a.m. MST",4631,4543,5228,597
PSCO,"12/9/2022 5 a.m. MST",4758,4669,5400,642
PSCO,"12/9/2022 6 a.m. MST",5051,4963,5558,507
PSCO,"12/9/2022 7 a.m. MST",5430,5383,5956,526
PSCO,"12/9/2022 8 a.m. MST",5651,5553,6321,670
PSCO,"12/9/2022 9 a.m. MST",5483,5390,6098,615
PSCO,"12/9/2022 10 a.m. MST",5273,5251,5900,627
PSCO,"12/9/2022 11 a.m. MST",5118,5070,5830,712
PSCO,"12/9/2022 12 p.m. MST",4997,4918,5511,514
PSCO,"12/9/2022 1 p.m. MST",4892,4838,5388,496
PSCO,"12/9/2022 2 p.m. MST",4854,4799,5382,528
PSCO,"12/9/2022 3 p.m. MST",4870,4872,5387,517
PSCO,"12/9/2022 4 p.m. MST",5082,5015,5530,448
PSCO,"12/9/2022 5 p.m. MST",5431,5437,5831,400
PSCO,"12/9/2022 6 p.m. MST",5735,5739,6277,542
PSCO,"12/9/2022 7 p.m. MST",5649,5643,6164,515
PSCO,"12/9/2022 8 p.m. MST",5518,5480,6223,705
PSCO,"12/9/2022 9 p.m. MST",5381,5405,5758,377
PSCO,"12/9/2022 10 p.m. MST",5240,5242,5716,476
PSCO,"12/9/2022 11 p.m. MST",5016,4980,5477,461
PSCO,"12/10/2022 12 a.m. MST",4735,4840,5236,501
PSCO,"12/10/2022 1 a.m. MST",4574,4564,4968,394
PSCO,"12/10/2022 2 a.m. MST",4480,4441,4689,209
