Timestamp (Hour Ending),Demand (MWh)
2023-02-05 01:00:00,4323.0
2023-02-05 02:00:00,4239.0
2023-02-05 03:00:00,4207.0
2023-02-05 04:00:00,4210.0
2023-02-05 05:00:00,4266.0
2023-02-05 06:00:00,4381.0
2023-02-05 07:00:00,4563.0
2023-02-05 08:00:00,4667.0
2023-02-05 09:00:00,4634.0
2023-02-05 10:00:00,4427.0
2023-02-05 11:00:00,4331.0
2023-02-05 12:00:00,4212.0
2023-02-05 13:00:00,4153.0
2023-02-05 14:00:00,4132.0
2023-02-05 15:00:00,4175.0
2023-02-05 16:00:00,4327.0
2023-02-05 17:00:00,4686.0
2023-02-05 18:00:00,5183.0
2023-02-05 19:00:00,5403.0
2023-02-05 20:00:00,5266.0
2023-02-05 21:00:00,5204.0
2023-02-05 22:00:00,5002.0
2023-02-05 23:00:00,4718.0
2023-02-06 00:00:00,4460.0
2023-02-06 01:00:00,4331.0
2023-02-06 02:00:00,4254.0
2023-02-06 03:00:00,4249.0
2023-02-06 04:00:00,4276.0
2023-02-06 05:00:00,4423.0
2023-02-06 06:00:00,4669.0
2023-02-06 07:00:00,5113.0
2023-02-06 08:00:00,5331.0
2023-02-06 09:00:00,5247.0
2023-02-06 10:00:00,5057.0
2023-02-06 11:00:00,4911.0
2023-02-06 12:00:00,4804.0
2023-02-06 13:00:00,4763.0
2023-02-06 14:00:00,5015.0
2023-02-06 15:00:00,4931.0
2023-02-06 16:00:00,5022.0
2023-02-06 17:00:00,5246.0
2023-02-06 18:00:00,5609.0
2023-02-06 19:00:00,5738.0
2023-02-06 20:00:00,5606.0
2023-02-06 21:00:00,5402.0
2023-02-06 22:00:00,5222.0
2023-02-06 23:00:00,4925.0
2023-02-07 00:00:00,4685.0
2023-02-07 01:00:00,4567.0
2023-02-07 02:00:00,4507.0
2023-02-07 03:00:00,4508.0
2023-02-07 04:00:00,4534.0
2023-02-07 05:00:00,4697.0
2023-02-07 06:00:00,4989.0
2023-02-07 07:00:00,5419.0
2023-02-07 08:00:00,5542.0
2023-02-07 09:00:00,5308.0
2023-02-07 10:00:00,4982.0
2023-02-07 11:00:00,4941.0
2023-02-07 12:00:00,4777.0
2023-02-07 13:00:00,4663.0
2023-02-07 14:00:00,4574.0
2023-02-07 15:00:00,4593.0
2023-02-07 16:00:00,4716.0
2023-02-07 17:00:00,4939.0
2023-02-07 18:00:00,5326.0
2023-02-07 19:00:00,5504.0
2023-02-07 20:00:00,5441.0
2023-02-07 21:00:00,5409.0
2023-02-07 22:00:00,5248.0
2023-02-07 23:00:00,4960.0
2023-02-08 00:00:00,4781.0
2023-02-08 01:00:00,4592.0
2023-02-08 02:00:00,4517.0
2023-02-08 03:00:00,4560.0
2023-02-08 04:00:00,4582.0
2023-02-08 05:00:00,4704.0
2023-02-08 06:00:00,4993.0
2023-02-08 07:00:00,5334.0
2023-02-08 08:00:00,5503.0
2023-02-08 09:00:00,5266.0
2023-02-08 10:00:00,4998.0
2023-02-08 11:00:00,4822.0
2023-02-08 12:00:00,4690.0
2023-02-08 13:00:00,4669.0
2023-02-08 14:00:00,4808.0
2023-02-08 15:00:00,4727.0
2023-02-08 16:00:00,4666.0
2023-02-08 17:00:00,4844.0
2023-02-08 18:00:00,5357.0
2023-02-08 19:00:00,5667.0
2023-02-08 20:00:00,5599.0
2023-02-08 21:00:00,5503.0
2023-02-08 22:00:00,5276.0
2023-02-08 23:00:00,4970.0
2023-02-09 00:00:00,4761.0
2023-02-09 01:00:00,4596.0
2023-02-09 02:00:00,4559.0
2023-02-09 03:00:00,4529.0
2023-02-09 04:00:00,4558.0
2023-02-09 05:00:00,4659.0
2023-02-09 06:00:00,4956.0
2023-02-09 07:00:00,5383.0
2023-02-09 08:00:00,5553.0
2023-02-09 09:00:00,5556.0
2023-02-09 10:00:00,5449.0
2023-02-09 11:00:00,5292.0
2023-02-09 12:00:00,5215.0
2023-02-09 13:00:00,5197.0
2023-02-09 14:00:00,5095.0
2023-02-09 15:00:00,5077.0
2023-02-09 16:00:00,5231.0
2023-02-09 17:00:00,5441.0
2023-02-09 18:00:00,5850.0
2023-02-09 19:00:00,5985.0
2023-02-09 20:00:00,5882.0
2023-02-09 21:00:00,5733.0
2023-02-09 22:00:00,5484.0
2023-02-09 23:00:00,5202.0
2023-02-10 00:00:00,5012.0
2023-02-10 01:00:00,4867.0
2023-02-10 02:00:00,4814.0
2023-02-10 03:00:00,4818.0
2023-02-10 04:00:00,4847.0
2023-02-10 05:00:00,4973.0
2023-02-10 06:00:00,5235.0
2023-02-10 07:00:00,5532.0
2023-02-10 08:00:00,5659.0
2023-02-10 09:00:00,5460.0
2023-02-10 10:00:00,5195.0
2023-02-10 11:00:00,4954.0
2023-02-10 12:00:00,4775.0
2023-02-10 13:00:00,4624.0
2023-02-10 14:00:00,4536.0
2023-02-10 15:00:00,4498.0
2023-02-10 16:00:00,4618.0
2023-02-10 17:00:00,4901.0
2023-02-10 18:00:00,5312.0
2023-02-10 19:00:00,5480.0
2023-02-10 20:00:00,5429.0
2023-02-10 21:00:00,5344.0
2023-02-10 22:00:00,5160.0
2023-02-10 23:00:00,4949.0
2023-02-11 00:00:00,4737.0
2023-02-11 01:00:00,4586.0
2023-02-11 02:00:00,4523.0
2023-02-11 03:00:00,4479.0
2023-02-11 04:00:00,4482.0
2023-02-11 05:00:00,4547.0
2023-02-11 06:00:00,4660.0
2023-02-11 07:00:00,4853.0
2023-02-11 08:00:00,4866.0
2023-02-11 09:00:00,4691.0
2023-02-11 10:00:00,4547.0
2023-02-11 11:00:00,4456.0
2023-02-11 12:00:00,4302.0
2023-02-11 13:00:00,4182.0
2023-02-11 14:00:00,4199.0
2023-02-11 15:00:00,4311.0
2023-02-11 16:00:00,4429.0
2023-02-11 17:00:00,4682.0
2023-02-11 18:00:00,5011.0
2023-02-11 19:00:00,5166.0
2023-02-11 20:00:00,5094.0
2023-02-11 21:00:00,5017.0
2023-02-11 22:00:00,4876.0
2023-02-11 23:00:00,4673.0
2023-02-12 00:00:00,4455.0
2023-02-12 01:00:00,4310.0
2023-02-12 02:00:00,4238.0
2023-02-12 03:00:00,4164.0
2023-02-12 04:00:00,4206.0
2023-02-12 05:00:00,4239.0
2023-02-12 06:00:00,4357.0
2023-02-12 07:00:00,4526.0
2023-02-12 08:00:00,4572.0
2023-02-12 09:00:00,4440.0
2023-02-12 10:00:00,4382.0
2023-02-12 11:00:00,4319.0
2023-02-12 12:00:00,4245.0
2023-02-12 13:00:00,4234.0
2023-02-12 14:00:00,4241.0
2023-02-12 15:00:00,4299.0
2023-02-12 16:00:00,4465.0
2023-02-12 17:00:00,4706.0
2023-02-12 18:00:00,4952.0
2023-02-12 19:00:00,5049.0
2023-02-12 20:00:00,5017.0
2023-02-12 21:00:00,4971.0
2023-02-12 22:00:00,4909.0
2023-02-12 23:00:00,4654.0
2023-02-13 00:00:00,4448.0
2023-02-13 01:00:00,4277.0
2023-02-13 02:00:00,4256.0
2023-02-13 03:00:00,4260.0
2023-02-13 04:00:00,4302.0
2023-02-13 05:00:00,4475.0
2023-02-13 06:00:00,4761.0
2023-02-13 07:00:00,5163.0
2023-02-13 08:00:00,5300.0
2023-02-13 09:00:00,5019.0
2023-02-13 10:00:00,4806.0
2023-02-13 11:00:00,4696.0
2023-02-13 12:00:00,4625.0
2023-02-13 13:00:00,4623.0
2023-02-13 14:00:00,4703.0
2023-02-13 15:00:00,4883.0
2023-02-13 16:00:00,4905.0
2023-02-13 17:00:00,5068.0
2023-02-13 18:00:00,5333.0
2023-02-13 19:00:00,5439.0
2023-02-13 20:00:00,5351.0
2023-02-13 21:00:00,5259.0
2023-02-13 22:00:00,5005.0
2023-02-13 23:00:00,4684.0
2023-02-14 00:00:00,4444.0
2023-02-14 01:00:00,4294.0
2023-02-14 02:00:00,4221.0
2023-02-14 03:00:00,4206.0
2023-02-14 04:00:00,4205.0
2023-02-14 05:00:00,4330.0
2023-02-14 06:00:00,4582.0
2023-02-14 07:00:00,5058.0
2023-02-14 08:00:00,5183.0
2023-02-14 09:00:00,5018.0
2023-02-14 10:00:00,4829.0
2023-02-14 11:00:00,4794.0
2023-02-14 12:00:00,4709.0
2023-02-14 13:00:00,4689.0
2023-02-14 14:00:00,4735.0
2023-02-14 15:00:00,4737.0
2023-02-14 16:00:00,4856.0
2023-02-14 17:00:00,5142.0
2023-02-14 18:00:00,5591.0
2023-02-14 19:00:00,5721.0
2023-02-14 20:00:00,5604.0
2023-02-14 21:00:00,5487.0
2023-02-14 22:00:00,5292.0
2023-02-14 23:00:00,5024.0
2023-02-15 00:00:00,4811.0
2023-02-15 01:00:00,4658.0
2023-02-15 02:00:00,4625.0
2023-02-15 03:00:00,4610.0
2023-02-15 04:00:00,4657.0
2023-02-15 05:00:00,4828.0
2023-02-15 06:00:00,5003.0
2023-02-15 07:00:00,5415.0
2023-02-15 08:00:00,5701.0
2023-02-15 09:00:00,5900.0
2023-02-15 10:00:00,6025.0
2023-02-15 11:00:00,6090.0
2023-02-15 12:00:00,6090.0
2023-02-15 13:00:00,6053.0
2023-02-15 14:00:00,6020.0
2023-02-15 15:00:00,5944.0
2023-02-15 16:00:00,6047.0
2023-02-15 17:00:00,6153.0
2023-02-15 18:00:00,6339.0
2023-02-15 19:00:00,6452.0
2023-02-15 20:00:00,6299.0
2023-02-15 21:00:00,6130.0
2023-02-15 22:00:00,5817.0
2023-02-15 23:00:00,5522.0
2023-02-16 00:00:00,5124.0
2023-02-16 01:00:00,4944.0
2023-02-16 02:00:00,4885.0
2023-02-16 03:00:00,4891.0
2023-02-16 04:00:00,4952.0
2023-02-16 05:00:00,5188.0
2023-02-16 06:00:00,5431.0
2023-02-16 07:00:00,5817.0
2023-02-16 08:00:00,6051.0
2023-02-16 09:00:00,6070.0
2023-02-16 10:00:00,5984.0
2023-02-16 11:00:00,5867.0
2023-02-16 12:00:00,5715.0
2023-02-16 13:00:00,5510.0
2023-02-16 14:00:00,5400.0
2023-02-16 15:00:00,5289.0
2023-02-16 16:00:00,5272.0
2023-02-16 17:00:00,5500.0
