,_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
15,5e23b149f9af8b5fe4b973dd,0001,"Thu, 02 Jan 2020 15:19:05 GMT","Thu, 02 Jan 2020 20:23:34 GMT","Thu, 02 Jan 2020 18:12:46 GMT",17.268,1_1_179_783_2020-01-02 15:19:05.085113,0001,AG-3F29,1-1-179-783,America/Los_Angeles,000002678,"[{'WhPerMile': 250, 'kWhRequested': 42.5, 'milesRequested': 170, 'minutesAvailable': 485, 'modifiedAt': 'Thu, 02 Jan 2020 15:19:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 23:24:05 GMT', 'userID': 2678}]"
16,5e23b149f9af8b5fe4b973de,0001,"Thu, 02 Jan 2020 15:21:27 GMT","Fri, 03 Jan 2020 00:13:19 GMT","Thu, 02 Jan 2020 19:14:54 GMT",9.163,1_1_193_816_2020-01-02 15:21:26.787754,0001,AG-1F05,1-1-193-816,America/Los_Angeles,000000607,"[{'WhPerMile': 400, 'kWhRequested': 56.0, 'milesRequested': 140, 'minutesAvailable': 608, 'modifiedAt': 'Thu, 02 Jan 2020 15:21:36 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 01:29:27 GMT', 'userID': 607}]"
17,5e23b149f9af8b5fe4b973df,0001,"Thu, 02 Jan 2020 15:22:24 GMT","Fri, 03 Jan 2020 00:01:40 GMT","Thu, 02 Jan 2020 17:11:59 GMT",5.085,1_1_179_798_2020-01-02 15:22:24.419444,0001,AG-3F18,1-1-179-798,America/Los_Angeles,000000577,"[{'WhPerMile': 333, 'kWhRequested': 6.66, 'milesRequested': 20, 'minutesAvailable': 493, 'modifiedAt': 'Thu, 02 Jan 2020 15:22:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 23:35:24 GMT', 'userID': 577}]"
18,5e23b149f9af8b5fe4b973e0,0001,"Thu, 02 Jan 2020 15:23:27 GMT","Thu, 02 Jan 2020 19:30:34 GMT","Thu, 02 Jan 2020 18:34:05 GMT",6.73,1_1_178_828_2020-01-02 15:23:18.615284,0001,AG-1F10,1-1-178-828,America/Los_Angeles,000003399,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 316, 'modifiedAt': 'Thu, 02 Jan 2020 15:23:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 20:39:27 GMT', 'userID': 3399}, {'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 177, 'modifiedAt': 'Thu, 02 Jan 2020 18:04:40 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 18:20:27 GMT', 'userID': 3399}, {'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 191, 'modifiedAt': 'Thu, 02 Jan 2020 18:05:13 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 18:34:27 GMT', 'userID': 3399}]"
19,5e23b149f9af8b5fe4b973e1,0001,"Thu, 02 Jan 2020 15:26:55 GMT","Thu, 02 Jan 2020 22:23:50 GMT","Thu, 02 Jan 2020 20:35:34 GMT",12.067,1_1_179_787_2020-01-02 15:26:54.779981,0001,AG-3F16,1-1-179-787,America/Los_Angeles,000001797,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 249, 'modifiedAt': 'Thu, 02 Jan 2020 15:26:55 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 19:35:55 GMT', 'userID': 1797}]"
20,5e23b149f9af8b5fe4b973e2,0001,"Thu, 02 Jan 2020 15:27:29 GMT","Fri, 03 Jan 2020 01:33:02 GMT","Thu, 02 Jan 2020 19:31:22 GMT",11.687,1_1_191_792_2020-01-02 15:27:28.718636,0001,AG-4F37,1-1-191-792,America/Los_Angeles,000002129,"[{'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 122, 'modifiedAt': 'Thu, 02 Jan 2020 15:28:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 17:29:29 GMT', 'userID': 2129}, {'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 409, 'modifiedAt': 'Thu, 02 Jan 2020 15:28:25 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 22:16:29 GMT', 'userID': 2129}]"
21,5e23b149f9af8b5fe4b973e3,0001,"Thu, 02 Jan 2020 15:28:47 GMT","Thu, 02 Jan 2020 19:01:54 GMT","Thu, 02 Jan 2020 19:02:51 GMT",7.417,1_1_193_827_2020-01-02 15:28:46.685366,0001,AG-1F02,1-1-193-827,America/Los_Angeles,000001283,"[{'WhPerMile': 350, 'kWhRequested': 42.0, 'milesRequested': 120, 'minutesAvailable': 238, 'modifiedAt': 'Thu, 02 Jan 2020 15:29:16 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 19:26:47 GMT', 'userID': 1283}, {'WhPerMile': 350, 'kWhRequested': 56.0, 'milesRequested': 160, 'minutesAvailable': 282, 'modifiedAt': 'Thu, 02 Jan 2020 16:29:35 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 20:10:47 GMT', 'userID': 1283}]"
22,5e23b149f9af8b5fe4b973e4,0001,"Thu, 02 Jan 2020 15:30:19 GMT","Fri, 03 Jan 2020 00:53:54 GMT","Thu, 02 Jan 2020 23:53:42 GMT",49.874,1_1_179_777_2020-01-02 15:30:18.640728,0001,AG-3F28,1-1-179-777,America/Los_Angeles,000004475,"[{'WhPerMile': 400, 'kWhRequested': 65.2, 'milesRequested': 163, 'minutesAvailable': 519, 'modifiedAt': 'Thu, 02 Jan 2020 15:30:36 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 00:09:19 GMT', 'userID': 4475}]"
23,5e23b149f9af8b5fe4b973e5,0001,"Thu, 02 Jan 2020 15:36:03 GMT","Fri, 03 Jan 2020 01:22:37 GMT","Thu, 02 Jan 2020 19:31:05 GMT",12.205,1_1_179_799_2020-01-02 15:36:03.007493,0001,AG-3F25,1-1-179-799,America/Los_Angeles,000000345,"[{'WhPerMile': 400, 'kWhRequested': 20.0, 'milesRequested': 50, 'minutesAvailable': 346, 'modifiedAt': 'Thu, 02 Jan 2020 15:39:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 21:22:03 GMT', 'userID': 345}]"
24,5e23b149f9af8b5fe4b973e6,0001,"Thu, 02 Jan 2020 15:37:49 GMT","Thu, 02 Jan 2020 23:30:42 GMT","Thu, 02 Jan 2020 17:31:51 GMT",6.175,1_1_179_796_2020-01-02 15:37:48.838808,0001,AG-3F24,1-1-179-796,America/Los_Angeles,000003331,"[{'WhPerMile': 229, 'kWhRequested': 4.58, 'milesRequested': 20, 'minutesAvailable': 586, 'modifiedAt': 'Thu, 02 Jan 2020 15:37:56 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 01:23:49 GMT', 'userID': 3331}]"
25,5e23b149f9af8b5fe4b973e7,0001,"Thu, 02 Jan 2020 15:38:04 GMT","Fri, 03 Jan 2020 01:11:54 GMT","Thu, 02 Jan 2020 18:44:53 GMT",6.511,1_1_179_815_2020-01-02 15:38:04.503455,0001,AG-3F33,1-1-179-815,America/Los_Angeles,000003443,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 595, 'modifiedAt': 'Thu, 02 Jan 2020 15:38:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 01:33:04 GMT', 'userID': 3443}]"
26,5e23b149f9af8b5fe4b973e8,0001,"Thu, 02 Jan 2020 15:42:05 GMT","Thu, 02 Jan 2020 21:58:45 GMT","Thu, 02 Jan 2020 21:59:42 GMT",36.701,1_1_179_797_2020-01-02 15:42:05.217965,0001,AG-3F23,1-1-179-797,America/Los_Angeles,000000474,"[{'WhPerMile': 400, 'kWhRequested': 32.0, 'milesRequested': 80, 'minutesAvailable': 532, 'modifiedAt': 'Thu, 02 Jan 2020 15:42:11 GMT', 'paymentRequired': True, 'requestedDeparture': 'Fri, 03 Jan 2020 00:34:05 GMT', 'userID': 474}]"
27,5e23b149f9af8b5fe4b973e9,0001,"Thu, 02 Jan 2020 15:57:24 GMT","Thu, 02 Jan 2020 16:35:37 GMT","Thu, 02 Jan 2020 16:36:34 GMT",3.689,1_1_179_781_2020-01-02 15:57:23.951170,0001,AG-3F31,1-1-179-781,America/Los_Angeles,000000724,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 89, 'modifiedAt': 'Thu, 02 Jan 2020 15:57:39 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 17:26:24 GMT', 'userID': 724}]"
28,5e23b149f9af8b5fe4b973ea,0001,"Thu, 02 Jan 2020 16:17:23 GMT","Thu, 02 Jan 2020 20:52:38 GMT","Thu, 02 Jan 2020 20:41:42 GMT",12.035,1_1_179_800_2020-01-02 16:17:23.189945,0001,AG-3F32,1-1-179-800,America/Los_Angeles,000000574,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 229, 'modifiedAt': 'Thu, 02 Jan 2020 16:17:49 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 20:06:23 GMT', 'userID': 574}]"
29,5e23b149f9af8b5fe4b973eb,0001,"Thu, 02 Jan 2020 16:26:00 GMT","Thu, 02 Jan 2020 21:12:49 GMT","Thu, 02 Jan 2020 20:37:27 GMT",25.511,1_1_179_809_2020-01-02 16:26:00.410611,0001,AG-3F27,1-1-179-809,America/Los_Angeles,000004449,"[{'WhPerMile': 400, 'kWhRequested': 32.0, 'milesRequested': 80, 'minutesAvailable': 60, 'modifiedAt': 'Thu, 02 Jan 2020 16:26:37 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 17:26:00 GMT', 'userID': 4449}]"
30,5e23b149f9af8b5fe4b973ec,0001,"Thu, 02 Jan 2020 16:28:23 GMT","Fri, 03 Jan 2020 03:10:07 GMT","Fri, 03 Jan 2020 02:46:22 GMT",12.082,1_1_179_791_2020-01-02 16:28:22.941328,0001,AG-3F26,1-1-179-791,America/Los_Angeles,000001805,"[{'WhPerMile': 400, 'kWhRequested': 12.0, 'milesRequested': 30, 'minutesAvailable': 328, 'modifiedAt': 'Thu, 02 Jan 2020 16:29:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 02 Jan 2020 21:56:23 GMT', 'userID': 1805}]"
