Start_DateTime,Energy_Consumption
2018-03-20 19:30:00,0.0
2018-03-20 19:31:00,0.0
2018-03-20 19:31:00,0.0
2018-03-20 19:34:00,0.0
2018-03-20 19:34:00,0.0
2018-03-20 19:45:00,0.0
2018-03-20 19:45:00,0.0
2018-03-21 06:38:00,11.128
2018-03-21 06:38:00,11.128
2018-03-23 18:17:00,18.462
2018-03-23 18:17:00,18.462
2018-03-23 20:04:00,1.441
2018-03-23 20:04:00,1.441
2018-03-26 13:06:00,14.385
2018-03-26 13:06:00,14.385
2018-03-26 18:35:00,16.72
2018-03-26 18:35:00,16.72
2018-03-30 20:58:00,15.693
2018-03-30 20:58:00,15.693
2018-03-31 10:32:00,13.123
2018-03-31 10:32:00,13.123
2018-04-01 09:06:00,0.0
2018-04-01 09:06:00,0.0
2018-04-01 09:27:00,0.413
2018-04-01 09:27:00,0.413
2018-04-03 13:25:00,0.0
2018-04-03 13:25:00,1.991
2018-04-03 13:25:00,1.991
2018-04-03 13:25:00,0.0
2018-04-03 19:19:00,9.575
2018-04-03 19:19:00,9.575
2018-04-04 09:42:00,8.036
2018-04-04 09:42:00,8.036
2018-04-04 12:23:00,16.722
2018-04-04 12:23:00,16.722
2018-04-06 12:15:00,13.866
2018-04-06 12:15:00,13.866
2018-04-06 19:15:00,16.64
2018-04-06 19:15:00,16.64
2018-04-07 17:46:00,6.743
2018-04-07 17:46:00,6.743
2018-04-09 08:09:00,3.211
2018-04-09 08:09:00,3.211
2018-04-09 11:59:00,2.656
2018-04-09 11:59:00,2.656
2018-04-09 20:21:00,18.799
2018-04-09 20:21:00,18.799
2018-04-11 11:57:00,7.563
2018-04-11 11:57:00,7.563
2018-04-12 17:28:00,6.262
2018-04-12 17:28:00,6.262
2018-04-12 20:32:00,12.811
2018-04-12 20:32:00,12.811
2018-04-13 18:31:00,4.343
2018-04-13 18:31:00,4.343
2018-04-14 19:29:00,5.371
2018-04-14 19:29:00,5.371
2018-04-14 20:38:00,13.679
2018-04-14 20:38:00,13.679
2018-04-15 19:10:00,13.909
2018-04-15 19:10:00,13.909
2018-04-17 08:42:00,4.67
2018-04-17 08:42:00,4.67
2018-04-17 20:13:00,18.419
2018-04-17 20:13:00,18.419
2018-04-18 02:00:00,4.215
2018-04-18 02:00:00,4.215
2018-04-19 11:02:00,19.337
2018-04-19 11:02:00,19.337
2018-04-20 01:30:00,4.187
2018-04-20 01:30:00,4.187
2018-04-20 16:32:00,4.069
2018-04-20 16:32:00,4.069
2018-04-22 08:57:00,18.608
2018-04-22 08:57:00,18.608
2018-04-24 07:27:00,1.264
2018-04-24 07:27:00,1.264
2018-04-24 07:59:00,16.516
2018-04-24 07:59:00,16.516
2018-04-25 22:44:00,1.957
2018-04-25 22:44:00,1.957
2018-04-26 20:52:00,18.08
2018-04-26 20:52:00,18.08
2018-04-28 18:05:00,12.31
2018-04-28 18:05:00,12.31
2018-04-29 12:15:00,17.238
2018-04-29 12:15:00,17.238
2018-04-30 21:52:00,18.271
2018-04-30 21:52:00,18.271
2018-05-03 15:39:00,2.873
2018-05-03 15:39:00,2.873
2018-05-09 19:40:00,0.0
2018-05-09 19:40:00,0.0
2018-05-12 18:21:00,0.0
2018-05-12 18:21:00,0.0
2018-05-13 09:08:00,5.084
2018-05-13 09:08:00,5.084
2018-05-13 20:23:00,16.993
2018-05-13 20:23:00,16.993
2018-05-15 09:04:00,8.37
2018-05-15 09:04:00,8.37
2018-05-15 12:00:00,2.76
2018-05-15 12:00:00,2.76
2018-05-17 08:30:00,2.938
2018-05-17 08:30:00,2.938
2018-05-18 05:57:00,0.0
2018-05-18 05:57:00,0.0
2018-05-19 13:05:00,4.523
2018-05-19 13:05:00,4.523
2018-05-19 15:38:00,10.254
2018-05-19 15:38:00,10.254
2018-05-19 21:39:00,11.035
2018-05-19 21:39:00,11.035
2018-05-20 03:59:00,16.368
2018-05-20 03:59:00,16.368
2018-05-23 13:20:00,3.351
2018-05-23 13:20:00,3.351
2018-05-23 22:09:00,18.651
2018-05-23 22:09:00,18.651
2018-05-25 15:03:00,9.39
2018-05-25 15:03:00,9.39
2018-06-01 18:46:00,3.708
2018-06-01 18:46:00,3.708
2018-06-02 16:58:00,15.476
2018-06-02 16:58:00,15.476
2018-06-03 15:30:00,8.873
2018-06-03 15:30:00,8.873
2018-06-03 18:22:00,8.957
2018-06-03 18:22:00,8.957
2018-06-04 21:08:00,3.785
2018-06-04 21:08:00,3.785
2018-06-04 22:09:00,16.045
2018-06-04 22:09:00,16.045
2018-06-05 15:34:00,12.933
2018-06-05 15:34:00,12.933
2018-06-06 15:53:00,3.453
2018-06-06 15:53:00,3.453
2018-06-08 17:58:00,18.635
2018-06-08 17:58:00,18.635
2018-06-09 11:50:00,10.823
2018-06-09 11:50:00,10.823
2018-06-10 18:15:00,6.563
2018-06-10 18:15:00,6.563
2018-06-10 23:40:00,19.381
2018-06-10 23:40:00,19.381
2018-06-11 14:39:00,1.612
2018-06-11 14:39:00,1.612
2018-06-12 20:17:00,7.676
2018-06-12 20:17:00,7.676
2018-06-13 13:20:00,3.787
2018-06-13 13:20:00,3.787
2018-06-14 15:37:00,4.595
2018-06-14 15:37:00,4.595
2018-06-14 15:41:00,0.0
2018-06-14 15:41:00,0.0
2018-06-15 16:09:00,9.879
2018-06-15 16:09:00,9.879
2018-06-16 16:22:00,0.0
2018-06-16 16:22:00,0.0
2018-06-16 16:24:00,0.0
2018-06-16 16:24:00,0.0
2018-06-16 18:06:00,0.0
2018-06-16 18:06:00,0.0
2018-06-25 13:16:00,2.835
2018-06-25 13:16:00,2.835
2018-06-28 21:16:00,7.874
2018-06-28 21:16:00,7.874
2018-07-02 11:56:00,6.86
2018-07-02 11:56:00,6.86
2018-07-09 16:05:00,0.0
2018-07-09 16:05:00,0.0
2018-07-09 16:07:00,0.0
2018-07-09 16:07:00,0.0
2018-07-09 16:11:00,0.0
2018-07-09 16:11:00,0.0
2018-07-09 16:13:00,0.0
2018-07-09 16:13:00,0.0
2018-07-09 16:17:00,0.0
2018-07-09 16:17:00,0.0
2018-07-09 17:54:00,5.72
2018-07-09 17:54:00,5.72
2018-07-09 17:55:00,5.826
2018-07-09 17:55:00,5.826
2018-07-10 18:30:00,16.934
2018-07-10 18:30:00,16.934
2018-07-12 11:32:00,5.44
2018-07-12 11:32:00,5.44
2018-07-13 09:48:00,9.587
2018-07-13 09:48:00,9.587
2018-07-15 10:58:00,3.259
2018-07-15 10:58:00,0.0
2018-07-15 10:58:00,0.0
2018-07-15 10:58:00,3.259
2018-07-19 10:12:00,9.418
2018-07-19 10:12:00,9.418
2018-07-25 09:56:00,11.505
2018-07-25 09:56:00,11.505
2018-07-25 13:13:00,0.345
2018-07-25 13:13:00,0.345
2018-07-25 17:14:00,5.189
2018-07-25 17:14:00,5.189
2018-08-05 11:24:00,3.767
2018-08-05 11:24:00,3.767
2018-08-06 17:58:00,4.18
2018-08-06 17:58:00,4.18
2018-08-09 14:23:00,3.407
2018-08-09 14:23:00,3.407
2018-08-10 00:33:00,4.502
2018-08-10 00:33:00,4.502
2018-08-16 17:05:00,13.385
2018-08-16 17:05:00,13.385
2018-08-17 18:31:00,0.0
2018-08-17 18:31:00,0.0
2018-08-23 08:04:00,52.728
2018-08-23 08:04:00,52.728
2018-08-23 08:47:00,14.016
2018-08-23 08:47:00,14.016
2018-08-23 17:23:00,4.951
2018-08-23 17:23:00,4.951
2018-08-24 09:37:00,0.0
2018-08-24 09:37:00,0.0
2018-08-24 18:39:00,15.689
2018-08-24 18:39:00,15.689
2018-08-29 08:54:00,6.487
2018-08-29 08:54:00,6.487
2018-08-31 17:21:00,14.538
2018-08-31 17:21:00,14.538
2018-09-01 19:29:00,5.029
2018-09-01 19:29:00,5.029
2018-09-07 18:44:00,14.53
2018-09-07 18:44:00,14.53
2018-09-09 11:20:00,12.474
2018-09-09 11:20:00,12.474
2018-09-10 19:16:00,8.93
2018-09-10 19:16:00,8.93
2018-09-12 12:18:00,0.0
2018-09-12 12:18:00,0.0
2018-09-12 12:23:00,0.0
2018-09-12 12:23:00,0.0
2018-09-20 19:34:00,4.689
2018-09-20 19:34:00,4.689
2018-09-21 10:36:00,6.173
2018-09-21 10:36:00,6.173
2018-09-25 08:46:00,0.0
2018-09-25 08:46:00,0.0
2018-09-25 08:48:00,0.0
2018-09-25 08:48:00,0.0
2018-09-25 08:49:00,0.0
2018-09-25 08:49:00,0.0
2018-09-25 08:49:00,0.0
2018-09-25 08:49:00,0.0
2018-09-25 08:53:00,0.0
2018-09-25 08:53:00,0.0
2018-09-25 08:56:00,0.0
2018-09-25 08:56:00,0.0
2018-09-25 19:10:00,16.104
2018-09-25 19:10:00,16.104
2018-09-29 18:50:00,1.603
2018-09-29 18:50:00,1.603
2018-10-03 11:53:00,7.159
2018-10-03 11:53:00,7.159
2018-10-04 17:17:00,0.0
2018-10-04 17:17:00,0.0
2018-10-04 17:18:00,2.775
2018-10-04 17:18:00,2.775
2018-10-07 11:43:00,0.0
2018-10-07 11:43:00,0.0
2018-10-07 11:44:00,10.946
2018-10-07 11:44:00,10.946
2018-10-09 07:08:00,0.726
2018-10-09 07:08:00,0.726
2018-10-09 16:05:00,9.675
2018-10-09 16:05:00,9.675
2018-10-11 07:45:00,40.17
2018-10-11 07:45:00,40.17
2018-10-11 11:13:00,0.0
2018-10-11 11:13:00,0.0
2018-10-12 18:44:00,13.237
2018-10-12 18:44:00,13.237
2018-10-13 09:46:00,4.555
2018-10-13 09:46:00,4.555
2018-10-16 19:26:00,13.25
2018-10-16 19:26:00,13.25
2018-10-17 18:53:00,2.175
2018-10-17 18:53:00,2.175
2018-10-24 07:29:00,38.063
2018-10-24 07:29:00,38.063
2018-10-26 13:59:00,2.504
2018-10-26 13:59:00,2.504
2018-10-26 18:22:00,0.0
2018-10-26 18:22:00,0.0
2018-10-26 18:24:00,0.0
2018-10-26 18:24:00,0.0
2018-10-26 18:25:00,0.0
2018-10-26 18:25:00,0.0
2018-10-30 15:36:00,9.589
2018-10-30 15:36:00,0.0
2018-10-30 15:36:00,0.0
2018-10-30 15:36:00,9.589
2018-10-31 08:08:00,53.565
2018-10-31 08:08:00,53.565
2018-11-01 19:01:00,4.041
2018-11-01 19:01:00,4.041
2018-11-02 18:33:00,13.738
2018-11-02 18:33:00,13.738
2018-11-03 11:56:00,2.088
2018-11-03 11:56:00,2.088
2018-11-05 08:39:00,32.819
2018-11-05 08:39:00,32.819
2018-11-07 09:36:00,10.399
2018-11-07 09:36:00,10.399
2018-11-07 11:46:00,10.319
2018-11-07 11:46:00,10.319
2018-11-08 10:09:00,0.0
2018-11-08 10:09:00,0.0
2018-11-08 10:15:00,0.0
2018-11-08 10:15:00,0.0
2018-11-13 08:13:00,12.502
2018-11-13 08:13:00,12.502
2018-11-16 14:47:00,3.095
2018-11-16 14:47:00,3.095
2018-11-19 15:17:00,0.0
2018-11-19 15:17:00,0.0
2018-11-20 17:28:00,9.764
2018-11-20 17:28:00,9.764
2018-11-23 18:36:00,15.789
2018-11-23 18:36:00,15.789
2018-11-25 17:25:00,7.898
2018-11-25 17:25:00,7.898
2018-11-30 17:46:00,12.339
2018-11-30 17:46:00,12.339
2018-12-03 07:59:00,14.508
2018-12-03 07:59:00,14.508
2018-12-03 17:26:00,14.49
2018-12-03 17:26:00,14.49
2018-12-04 16:22:00,10.749
2018-12-04 16:22:00,10.749
2018-12-04 17:35:00,5.564
2018-12-04 17:35:00,5.564
2018-12-05 14:30:00,2.296
2018-12-05 14:30:00,2.296
2018-12-05 14:41:00,10.459
2018-12-05 14:41:00,10.459
2018-12-12 14:08:00,2.982
2018-12-12 14:08:00,2.982
2018-12-13 07:59:00,39.351
2018-12-13 07:59:00,39.351
2018-12-14 16:53:00,4.712
2018-12-14 16:53:00,4.712
2018-12-17 13:41:00,0.0
2018-12-17 13:41:00,0.0
2018-12-17 18:05:00,9.771
2018-12-17 18:05:00,9.771
2018-12-18 18:02:00,5.84
2018-12-18 18:02:00,5.84
2018-12-19 14:14:00,2.296
2018-12-19 14:14:00,2.296
2018-12-20 16:43:00,5.293
2018-12-20 16:43:00,5.293
2018-12-21 07:10:00,6.264
2018-12-21 07:10:00,6.264
2018-12-21 12:21:00,5.558
2018-12-21 12:21:00,5.558
2018-12-27 16:11:00,12.13
2018-12-27 16:11:00,12.13
2018-12-31 14:15:00,3.824
2018-12-31 14:15:00,0.0
2018-12-31 14:15:00,3.824
2018-12-31 14:15:00,0.0
2019-01-05 15:54:00,0.0
2019-01-05 15:54:00,0.0
2019-01-05 15:54:00,0.0
2019-01-05 15:54:00,0.0
2019-01-07 14:48:00,11.631
2019-01-07 14:48:00,11.631
2019-01-08 19:21:00,14.766
2019-01-08 19:21:00,14.766
2019-01-09 14:00:00,17.736
2019-01-09 14:00:00,17.736
2019-01-12 18:08:00,6.735
2019-01-12 18:08:00,6.735
2019-01-13 18:38:00,6.255
2019-01-13 18:38:00,6.255
2019-01-14 08:27:00,5.921
2019-01-14 08:27:00,5.921
2019-01-14 18:52:00,0.117
2019-01-14 18:52:00,0.117
2019-01-21 19:58:00,9.522
2019-01-21 19:58:00,9.522
2019-01-23 08:20:00,6.036
2019-01-23 08:20:00,6.036
2019-01-23 14:55:00,2.512
2019-01-23 14:55:00,2.512
2019-01-24 07:54:00,16.598
2019-01-24 07:54:00,16.598
2019-01-24 08:09:00,22.648
2019-01-24 08:09:00,22.648
2019-01-25 08:31:00,5.92
2019-01-25 08:31:00,5.92
2019-01-25 17:28:00,3.276
2019-01-25 17:28:00,3.276
2019-01-26 17:46:00,0.0
2019-01-26 17:46:00,0.0
2019-01-26 17:47:00,8.795
2019-01-26 17:47:00,8.795
2019-01-29 14:50:00,3.987
2019-01-29 14:50:00,3.987
2019-01-29 17:49:00,5.1
2019-01-29 17:49:00,5.1
2019-01-31 14:06:00,3.049
2019-01-31 14:06:00,3.049
2019-01-31 16:02:00,4.309
2019-01-31 16:02:00,4.309
2019-02-04 15:42:00,6.289
2019-02-04 15:42:00,6.289
2019-02-04 16:53:00,4.169
2019-02-04 16:53:00,4.169
2019-02-05 08:39:00,6.816
2019-02-05 08:39:00,6.816
2019-02-05 15:49:00,4.544
2019-02-05 15:49:00,4.544
2019-02-06 09:50:00,9.496
2019-02-06 09:50:00,9.496
2019-02-06 18:42:00,14.473
2019-02-06 18:42:00,14.473
2019-02-07 18:00:00,3.863
2019-02-07 18:00:00,3.863
2019-02-07 20:26:00,16.901
2019-02-07 20:26:00,16.901
2019-02-08 12:27:00,3.149
2019-02-08 12:27:00,3.149
2019-02-08 13:16:00,2.777
2019-02-08 13:16:00,2.777
2019-02-09 16:16:00,13.435
2019-02-09 16:16:00,13.435
2019-02-09 18:57:00,8.37
2019-02-09 18:57:00,8.37
2019-02-10 18:11:00,5.102
2019-02-10 18:11:00,5.102
2019-02-10 18:24:00,3.394
2019-02-10 18:24:00,3.394
2019-02-11 00:19:00,20.325
2019-02-11 00:19:00,20.325
2019-02-11 17:55:00,5.384
2019-02-11 17:55:00,5.384
2019-02-11 18:31:00,8.697
2019-02-11 18:31:00,8.697
2019-02-12 16:15:00,16.945
2019-02-12 16:15:00,16.945
2019-02-14 08:53:00,10.996
2019-02-14 08:53:00,10.996
2019-02-14 22:21:00,18.882
2019-02-14 22:21:00,18.882
2019-02-15 14:57:00,2.501
2019-02-15 14:57:00,2.501
2019-02-15 20:57:00,14.071
2019-02-15 20:57:00,14.071
2019-02-17 17:28:00,4.673
2019-02-17 17:28:00,4.673
2019-02-18 08:34:00,21.455
2019-02-18 08:34:00,21.455
2019-02-19 12:57:00,3.805
2019-02-19 12:57:00,3.805
2019-02-19 14:03:00,5.294
2019-02-19 14:03:00,5.294
2019-02-20 10:33:00,11.697
2019-02-20 10:33:00,11.697
2019-02-20 14:55:00,3.291
2019-02-20 14:55:00,3.291
2019-02-20 18:58:00,20.386
2019-02-20 18:58:00,20.386
2019-02-21 20:08:00,0.732
2019-02-21 20:08:00,0.732
2019-02-21 20:35:00,14.611
2019-02-21 20:35:00,14.611
2019-02-23 22:52:00,18.214
2019-02-23 22:52:00,18.214
2019-02-25 23:42:00,19.78
2019-02-25 23:42:00,19.78
2019-02-26 10:32:00,0.0
