model                          , mae               , huber             , acc               , pre               , rec
AdaBoostRegressor_part0        , 18.882406819585412, 4.6969075371588875, 0.9266666666666666, 1.0               , 0.08333333333333333
GradientBoostingRegressor_part0, 20.919483996171035, 5.2045566594194765, 0.93              , 0.8               , 0.16666666666666666
GRU_part0                      , 20.687144537766773, 5.146499997795698 , 0.92              , 0.5               , 0.16666666666666666
LSTM_part0                     , 17.313475936055184, 4.305081139768467 , 0.92              ,                   , 0.0
PatchMixer_part0               , 30.10993407169978 , 7.4964469108168155, 0.9233333333333333, 0.5454545454545454, 0.25
RandomForestRegressor_part0    , 17.84273735351198 , 4.435602180487958 , 0.9266666666666666, 1.0               , 0.08333333333333333
xPatch_part0                   , 25.455998322963715, 6.334662217667404 , 0.89              , 0.3953488372093023, 0.7083333333333334
